finding_id,project_chapter,project_finding,project_effect_or_result,evidence_grade,literature_domain,source_id,literature_claim,relationship,theoretical_explanation,disagreement_explanation,project_extension,limitation,citation_ready_sentence,source_report
F04,herding,Unconditional or poorly calibrated aggregation may amplify error.,Trust-weighted herding was non-monotonic and not uniformly beneficial.,LEVEL 2 - replicated descriptive experiment,herding_trust,S015,Social observation can make agents ignore private signals and amplify errors.,consistent_with_literature,Cascades and conformity can propagate wrong signals.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Sequential adoption model, not simultaneous day voting.",Unconditional or poorly calibrated aggregation may amplify error. This is consistent with literature relative to Abhijit V. Banerjee (1992).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F04,herding,Unconditional or poorly calibrated aggregation may amplify error.,Trust-weighted herding was non-monotonic and not uniformly beneficial.,LEVEL 2 - replicated descriptive experiment,herding_trust,S016,Aggregation can produce fragile cascades when public behavior outweighs private information.,consistent_with_literature,Cascades and conformity can propagate wrong signals.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,The DURF herding mechanism is simpler than the formal cascade model.,Unconditional or poorly calibrated aggregation may amplify error. This is consistent with literature relative to Sushil Bikhchandani (1992).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F04,herding,Unconditional or poorly calibrated aggregation may amplify error.,Trust-weighted herding was non-monotonic and not uniformly beneficial.,LEVEL 2 - replicated descriptive experiment,herding_trust,S017,Group pressure can change individual judgments even when private evidence exists.,consistent_with_literature,Cascades and conformity can propagate wrong signals.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Psychology demonstration, not a computational model or financial setting.",Unconditional or poorly calibrated aggregation may amplify error. This is consistent with literature relative to Solomon E. Asch (1955).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F05,bow_r2,BoW had moderate held-out predictive value.,R2 BoW-score speaker-is-wolf AUC was 0.692.,LEVEL 3 - formal validation design,bow_domain_shift,S038,Bag-of-Words and sparse text representations are legitimate classical text features.,methodological_parallel,Sparse lexical features can carry predictive signal.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Textbook reference, not evidence for policy value in DURF.",BoW had moderate held-out predictive value. This is methodological parallel relative to Christopher D. Manning (2008).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F05,bow_r2,BoW had moderate held-out predictive value.,R2 BoW-score speaker-is-wolf AUC was 0.692.,LEVEL 3 - formal validation design,bow_domain_shift,S039,Simple BoW event models can be useful but depend on feature and data assumptions.,methodological_parallel,Sparse lexical features can carry predictive signal.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Classification setting, not causal decision integration.",BoW had moderate held-out predictive value. This is methodological parallel relative to Andrew McCallum (1998).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F05,bow_r2,BoW had moderate held-out predictive value.,R2 BoW-score speaker-is-wolf AUC was 0.692.,LEVEL 3 - formal validation design,bow_domain_shift,S040,Sparse lexical features can predict labels without guaranteeing decision utility.,methodological_parallel,Sparse lexical features can carry predictive signal.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,No direct policy evaluation.,BoW had moderate held-out predictive value. This is methodological parallel relative to Thorsten Joachims (1998).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F06,bow_r2,BoW failed under unseen templates.,Full BoW vector AUC dropped under OOD-template split.,LEVEL 3 - formal validation design,bow_domain_shift,S041,NLP systems trained in one domain can fail or need adaptation in another.,consistent_with_literature,Template failure is a domain-shift problem.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"General NLP domain adaptation, not Werewolf templates.",BoW failed under unseen templates. This is consistent with literature relative to John Blitzer (2006).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F06,bow_r2,BoW failed under unseen templates.,Full BoW vector AUC dropped under OOD-template split.,LEVEL 3 - formal validation design,bow_domain_shift,S042,Held-out template failure is consistent with domain-shift theory.,consistent_with_literature,Template failure is a domain-shift problem.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Theory does not specify DURF template generators.,BoW failed under unseen templates. This is consistent with literature relative to Shai Ben-David (2010).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F06,bow_r2,BoW failed under unseen templates.,Full BoW vector AUC dropped under OOD-template split.,LEVEL 3 - formal validation design,bow_domain_shift,S043,Predictive performance can be dataset-bound and fail under distribution shift.,consistent_with_literature,Template failure is a domain-shift problem.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Computer vision setting; used for methodological analogy.,BoW failed under unseen templates. This is consistent with literature relative to Antonio Torralba (2011).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F06,bow_r2,BoW failed under unseen templates.,Full BoW vector AUC dropped under OOD-template split.,LEVEL 3 - formal validation design,bow_domain_shift,S044,Robustness should be evaluated under grouped or distribution-shifted splits.,consistent_with_literature,Template failure is a domain-shift problem.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Benchmark suite, not a Werewolf experiment.",BoW failed under unseen templates. This is consistent with literature relative to Pang Wei Koh (2021).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F07,bow_r3,Live BoW integration reduced village outcomes.,R3 guarded BoW live policies underperformed reference conditions.,LEVEL 3 - formal validation design,bow_domain_shift,S041,NLP systems trained in one domain can fail or need adaptation in another.,consistent_with_literature,Prediction quality need not translate into policy value.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"General NLP domain adaptation, not Werewolf templates.",Live BoW integration reduced village outcomes. This is consistent with literature relative to John Blitzer (2006).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F07,bow_r3,Live BoW integration reduced village outcomes.,R3 guarded BoW live policies underperformed reference conditions.,LEVEL 3 - formal validation design,offline_policy,S046,Offline policy estimates can be biased or high variance without appropriate estimators.,consistent_with_literature,Prediction quality need not translate into policy value.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,DURF uses matched live validation rather than DR estimators.,Live BoW integration reduced village outcomes. This is consistent with literature relative to Miroslav Dudik (2011).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F07,bow_r3,Live BoW integration reduced village outcomes.,R3 guarded BoW live policies underperformed reference conditions.,LEVEL 3 - formal validation design,offline_policy,S047,Unsafe policies should not be deployed based only on weak offline estimates.,consistent_with_literature,Prediction quality need not translate into policy value.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Confidence-bound method not implemented directly in DURF.,Live BoW integration reduced village outcomes. This is consistent with literature relative to Philip Thomas (2015).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F07,bow_r3,Live BoW integration reduced village outcomes.,R3 guarded BoW live policies underperformed reference conditions.,LEVEL 3 - formal validation design,offline_policy,S048,Sequential policy evaluation has bias-variance tradeoffs and can be hard.,consistent_with_literature,Prediction quality need not translate into policy value.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Not a direct model of the project's shadow rollout diagnostics.,Live BoW integration reduced village outcomes. This is consistent with literature relative to Nan Jiang (2016).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F08,ml_policy,Prediction quality did not imply policy value.,ML shadow improvements did not survive matched live validation.,LEVEL 4 - robustness-validated,offline_policy,S046,Offline policy estimates can be biased or high variance without appropriate estimators.,consistent_with_literature,Offline or surrogate evaluation can fail under live distribution shift.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,DURF uses matched live validation rather than DR estimators.,Prediction quality did not imply policy value. This is consistent with literature relative to Miroslav Dudik (2011).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F08,ml_policy,Prediction quality did not imply policy value.,ML shadow improvements did not survive matched live validation.,LEVEL 4 - robustness-validated,offline_policy,S047,Unsafe policies should not be deployed based only on weak offline estimates.,consistent_with_literature,Offline or surrogate evaluation can fail under live distribution shift.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Confidence-bound method not implemented directly in DURF.,Prediction quality did not imply policy value. This is consistent with literature relative to Philip Thomas (2015).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F08,ml_policy,Prediction quality did not imply policy value.,ML shadow improvements did not survive matched live validation.,LEVEL 4 - robustness-validated,offline_policy,S048,Sequential policy evaluation has bias-variance tradeoffs and can be hard.,consistent_with_literature,Offline or surrogate evaluation can fail under live distribution shift.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Not a direct model of the project's shadow rollout diagnostics.,Prediction quality did not imply policy value. This is consistent with literature relative to Nan Jiang (2016).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F08,ml_policy,Prediction quality did not imply policy value.,ML shadow improvements did not survive matched live validation.,LEVEL 4 - robustness-validated,offline_policy,S049,Logged-data policy evaluation depends on support and logging-policy assumptions.,consistent_with_literature,Offline or surrogate evaluation can fail under live distribution shift.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Bandit feedback differs from long-horizon Werewolf games.,Prediction quality did not imply policy value. This is consistent with literature relative to Lihong Li (2011).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F08,ml_policy,Prediction quality did not imply policy value.,ML shadow improvements did not survive matched live validation.,LEVEL 4 - robustness-validated,offline_policy,S050,Offline RL faces extrapolation and deployment-risk problems.,consistent_with_literature,Offline or surrogate evaluation can fail under live distribution shift.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Preprint review; use as background only.,Prediction quality did not imply policy value. This is consistent with literature relative to Sergey Levine (2020).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F09,seer_information,Early wolf discovery was associated with village success.,Structured search diagnostics found positive information-discovery indicators.,LEVEL 4 - robustness-validated,asymmetric_information,S009,Hidden-role games can be framed as incomplete-information games with subjective beliefs over types.,consistent_with_literature,Private information can have strategic value.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"General theory, not a social-deduction simulation.",Early wolf discovery was associated with village success. This is consistent with literature relative to John C. Harsanyi (1967).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F09,seer_information,Early wolf discovery was associated with village success.,Structured search diagnostics found positive information-discovery indicators.,LEVEL 4 - robustness-validated,behavioral_finance,S035,Private information can create an information premium under strategic interaction.,consistent_with_literature,Private information can have strategic value.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Continuous auction model; Seer analogy is conceptual.,Early wolf discovery was associated with village success. This is consistent with literature relative to Albert S. Kyle (1985).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F09,seer_information,Early wolf discovery was associated with village success.,Structured search diagnostics found positive information-discovery indicators.,LEVEL 4 - robustness-validated,behavioral_finance,S036,Useful private information must have value or agents would not acquire it.,consistent_with_literature,Private information can have strategic value.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Market equilibrium result, not direct payoff proof for the Seer.",Early wolf discovery was associated with village success. This is consistent with literature relative to Sanford J. Grossman (1980).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F10,seer_search,Highest-suspicion and highest-p_wolf checking were not supported.,Both were harmful versus random in structured seer search.,LEVEL 4 - robustness-validated,bow_domain_shift,S042,Held-out template failure is consistent with domain-shift theory.,extends_literature,Local risk scores can be post-treatment or misleading if not calibrated.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Theory does not specify DURF template generators.,Highest-suspicion and highest-p_wolf checking were not supported. This is extends literature relative to Shai Ben-David (2010).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F10,seer_search,Highest-suspicion and highest-p_wolf checking were not supported.,Both were harmful versus random in structured seer search.,LEVEL 4 - robustness-validated,bow_domain_shift,S043,Predictive performance can be dataset-bound and fail under distribution shift.,extends_literature,Local risk scores can be post-treatment or misleading if not calibrated.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Computer vision setting; used for methodological analogy.,Highest-suspicion and highest-p_wolf checking were not supported. This is extends literature relative to Antonio Torralba (2011).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F10,seer_search,Highest-suspicion and highest-p_wolf checking were not supported.,Both were harmful versus random in structured seer search.,LEVEL 4 - robustness-validated,simulation_validation,S055,"DURF engine symmetry, replay, and validation tests are necessary model-credibility evidence.",extends_literature,Local risk scores can be post-treatment or misleading if not calibrated.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"General simulation V&V, not specific to social deduction.",Highest-suspicion and highest-p_wolf checking were not supported. This is extends literature relative to Robert G. Sargent (2013).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F11,position_theory,Position folklore was not supported after randomization.,Edge seats were not wolf-heavy and edge-first did not beat random.,LEVEL 3 - formal statistical analysis,simulation_validation,S055,"DURF engine symmetry, replay, and validation tests are necessary model-credibility evidence.",methodological_parallel,Randomized assignment and validation can falsify intuitive artifacts.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"General simulation V&V, not specific to social deduction.",Position folklore was not supported after randomization. This is methodological parallel relative to Robert G. Sargent (2013).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F11,position_theory,Position folklore was not supported after randomization.,Edge seats were not wolf-heavy and edge-first did not beat random.,LEVEL 3 - formal statistical analysis,simulation_validation,S057,"Simulation studies need explicit replication, validation, and output analysis.",methodological_parallel,Randomized assignment and validation can falsify intuitive artifacts.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,General simulation methods textbook.,Position folklore was not supported after randomization. This is methodological parallel relative to Averill M. Law (2015).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F12,seer_reveal,Immediate reveal was promising but uncertain.,R6.1 immediate_reveal had best Seer mean payoff but pilot caveats remain.,LEVEL 4 - matched live validation pilot,asymmetric_information,S011,Speech and reveal decisions can be interpreted as signals whose credibility matters.,partially_consistent,Information revelation has benefits and strategic costs.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Signaling model is economic and stylized; DURF signals are simulated speech acts.,Immediate reveal was promising but uncertain. This is partially consistent relative to Michael Spence (1973).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F12,seer_reveal,Immediate reveal was promising but uncertain.,R6.1 immediate_reveal had best Seer mean payoff but pilot caveats remain.,LEVEL 4 - matched live validation pilot,asymmetric_information,S012,"Strategic communication is less informative when preferences diverge, matching wolf deception constraints.",partially_consistent,Information revelation has benefits and strategic costs.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Cheap-talk equilibria are not directly estimated in DURF.,Immediate reveal was promising but uncertain. This is partially consistent relative to Vincent P. Crawford (1982).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F12,seer_reveal,Immediate reveal was promising but uncertain.,R6.1 immediate_reveal had best Seer mean payoff but pilot caveats remain.,LEVEL 4 - matched live validation pilot,behavioral_finance,S035,Private information can create an information premium under strategic interaction.,partially_consistent,Information revelation has benefits and strategic costs.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Continuous auction model; Seer analogy is conceptual.,Immediate reveal was promising but uncertain. This is partially consistent relative to Albert S. Kyle (1985).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F13,seer_reveal,Reveal generated high short-term mortality hazard.,R6.2 corrected Seer survival with post-reveal hazard metrics.,LEVEL 4 - matched supplementary metric audit,asymmetric_information,S011,Speech and reveal decisions can be interpreted as signals whose credibility matters.,extends_literature,Public signalers can become strategic targets.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Signaling model is economic and stylized; DURF signals are simulated speech acts.,Reveal generated high short-term mortality hazard. This is extends literature relative to Michael Spence (1973).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F13,seer_reveal,Reveal generated high short-term mortality hazard.,R6.2 corrected Seer survival with post-reveal hazard metrics.,LEVEL 4 - matched supplementary metric audit,behavioral_finance,S030,Manipulators can profit when others attach positive probability to their being informed.,extends_literature,Public signalers can become strategic targets.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Should support only analogy, not causal equivalence with financial markets.",Reveal generated high short-term mortality hazard. This is extends literature relative to Franklin Allen (1992).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F13,seer_reveal,Reveal generated high short-term mortality hazard.,R6.2 corrected Seer survival with post-reveal hazard metrics.,LEVEL 4 - matched supplementary metric audit,behavioral_finance,S035,Private information can create an information premium under strategic interaction.,extends_literature,Public signalers can become strategic targets.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Continuous auction model; Seer analogy is conceptual.,Reveal generated high short-term mortality hazard. This is extends literature relative to Albert S. Kyle (1985).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F14,risk_metrics,Information premium was positive but partly outcome-dependent.,R5 information premium was positive but sensitive to outcome conditioning.,LEVEL 4 - risk-analysis,behavioral_finance,S036,Useful private information must have value or agents would not acquire it.,partially_consistent,Information value should be separated from outcome dependence.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Market equilibrium result, not direct payoff proof for the Seer.",Information premium was positive but partly outcome-dependent. This is partially consistent relative to Sanford J. Grossman (1980).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F14,risk_metrics,Information premium was positive but partly outcome-dependent.,R5 information premium was positive but sensitive to outcome conditioning.,LEVEL 4 - risk-analysis,risk_metrics,S058,Sharpe-like ratios are a recognized way to compare mean return per unit volatility.,partially_consistent,Information value should be separated from outcome dependence.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,DURF payoff ratios are analogues and not investment returns.,Information premium was positive but partly outcome-dependent. This is partially consistent relative to William F. Sharpe (1966).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F14,risk_metrics,Information premium was positive but partly outcome-dependent.,R5 information premium was positive but sensitive to outcome conditioning.,LEVEL 4 - risk-analysis,risk_metrics,S060,Tail-risk metrics should examine expected losses conditional on bad outcomes.,partially_consistent,Information value should be separated from outcome dependence.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Optimization framework, while DURF reports CVaR-like descriptive metrics.",Information premium was positive but partly outcome-dependent. This is partially consistent relative to R. Tyrrell Rockafellar (2000).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F15,witch,Aggressive intervention had a possible return advantage.,R6.1 Witch aggressive_full had best mean actor payoff.,LEVEL 4 - matched live validation pilot,offline_policy,S047,Unsafe policies should not be deployed based only on weak offline estimates.,methodological_parallel,High-impact interventions can raise expected value but require risk controls.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Confidence-bound method not implemented directly in DURF.,Aggressive intervention had a possible return advantage. This is methodological parallel relative to Philip Thomas (2015).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F15,witch,Aggressive intervention had a possible return advantage.,R6.1 Witch aggressive_full had best mean actor payoff.,LEVEL 4 - matched live validation pilot,simulation_validation,S057,"Simulation studies need explicit replication, validation, and output analysis.",methodological_parallel,High-impact interventions can raise expected value but require risk controls.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,General simulation methods textbook.,Aggressive intervention had a possible return advantage. This is methodological parallel relative to Averill M. Law (2015).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F15,witch,Aggressive intervention had a possible return advantage.,R6.1 Witch aggressive_full had best mean actor payoff.,LEVEL 4 - matched live validation pilot,risk_metrics,S064,Risk preferences can alter choices and payoff distributions.,methodological_parallel,High-impact interventions can raise expected value but require risk controls.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,The project's risk-preference labels are simplified and not calibrated prospect-theory parameters.,Aggressive intervention had a possible return advantage. This is methodological parallel relative to Daniel Kahneman (1979).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F16,witch,Aggressive intervention increased wrong-poison risk.,R6.2 lifecycle metrics separate wrong poison from true waste.,LEVEL 4 - metric audit,risk_metrics,S060,Tail-risk metrics should examine expected losses conditional on bad outcomes.,consistent_with_literature,Downside/tail metrics clarify intervention harm.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Optimization framework, while DURF reports CVaR-like descriptive metrics.",Aggressive intervention increased wrong-poison risk. This is consistent with literature relative to R. Tyrrell Rockafellar (2000).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F16,witch,Aggressive intervention increased wrong-poison risk.,R6.2 lifecycle metrics separate wrong poison from true waste.,LEVEL 4 - metric audit,risk_metrics,S063,Risk metrics require explicit definitions and caveats about what properties they satisfy.,consistent_with_literature,Downside/tail metrics clarify intervention harm.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"DURF VaR/CVaR-like metrics are descriptive analogues, not full coherent-risk optimization.",Aggressive intervention increased wrong-poison risk. This is consistent with literature relative to Philippe Artzner (1999).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F16,witch,Aggressive intervention increased wrong-poison risk.,R6.2 lifecycle metrics separate wrong poison from true waste.,LEVEL 4 - metric audit,risk_metrics,S064,Risk preferences can alter choices and payoff distributions.,consistent_with_literature,Downside/tail metrics clarify intervention harm.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,The project's risk-preference labels are simplified and not calibrated prospect-theory parameters.,Aggressive intervention increased wrong-poison risk. This is consistent with literature relative to Daniel Kahneman (1979).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F17,witch,Extreme conservatism produced high unused-resource cost.,R6.2 measured unused potion and missed opportunities.,LEVEL 4 - metric audit,risk_metrics,S058,Sharpe-like ratios are a recognized way to compare mean return per unit volatility.,extends_literature,Opportunity-cost framing explains excessive inaction.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,DURF payoff ratios are analogues and not investment returns.,Extreme conservatism produced high unused-resource cost. This is extends literature relative to William F. Sharpe (1966).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F17,witch,Extreme conservatism produced high unused-resource cost.,R6.2 measured unused potion and missed opportunities.,LEVEL 4 - metric audit,risk_metrics,S060,Tail-risk metrics should examine expected losses conditional on bad outcomes.,extends_literature,Opportunity-cost framing explains excessive inaction.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Optimization framework, while DURF reports CVaR-like descriptive metrics.",Extreme conservatism produced high unused-resource cost. This is extends literature relative to R. Tyrrell Rockafellar (2000).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
