stage_id,stage_name,research_domain,hypothesis_id,hypothesis,prior_hypothesis_source,experiment_design,dataset_path,report_path,raw_row_count,raw_game_count,independent_sample_size,matched_set_count,seed_count,behavioral_regime_count,primary_outcome,comparison,control_condition,descriptive_effect,absolute_percentage_point_effect,effect_size_type,effect_size,confidence_interval,raw_p_value,adjusted_p_value,multiplicity_method,evidence_level,seed_robustness,regime_robustness,design_validity,engine_validity,distribution_shift_status,overfitting_status,leakage_status,conclusion_label,hypothesis_status,main_limitation,supersedes_stage_id,superseded_by_stage_id,next_hypothesis,source_commit,current_documentation_commit
structured_seer_search,Structured seer search,information search,H11_behavioral_exploitation_improves_search,Using current suspicion or p_wolf should improve seer checking.,results/data_analysis/structured_seer_search/analysis_report.md,Pairwise formal comparisons against random.,results/structured_seer_search/structured_seer_search_game_level_raw.csv,results/data_analysis/structured_seer_search/analysis_report.md,35000 game rows,35000,35000 games,NA,5,not reported,village_win_rate,highest_p_wolf vs random; highest_suspicion vs random,random,highest_p_wolf and highest_suspicion were statistically worse than random,-5.64 pp for highest_p_wolf vs random village win,odds ratio,highest_p_wolf OR 0.786; highest_suspicion OR 0.785,highest_p_wolf OR CI 0.701 to 0.882,0.0000392,0.000276,Holm,LEVEL 4 - robustness-validated,seed-stratified and leave-one-seed-out summaries,not reported,not reported,not separately tested,not assessed,not assessed,not assessed,statistically supported harmful effect,rejected,Applies to current belief dynamics; not all possible behavioral signals.,,,Physical path and label artifacts should be tested directly.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
seat_order_neutral,Displayed-label neutralization,design validity,H12_displayed_labels_alter_outcomes,Displayed seat labels alter physical trajectories or outcomes.,results/seat_order_neutral/seat_order_neutral_experiment_report.md,"Normal, mirrored, and rotated label rows for identical physical configurations.",results/seat_order_neutral/seat_order_neutral_game_level_raw.csv,results/data_analysis/seat_order_neutral/analysis_report.md,30000 rows,30000 rows with deterministic duplicates,10000 strategy/base rows,2500 physical configurations,5,not reported,label invariance,normal vs mirrored vs rotated labels,same physical configuration,all tested physical trajectories and outcomes matched exactly across label conditions,0 divergences,deterministic equivalence,100 percent match,not applicable,not applicable,not applicable,not applicable,LEVEL 5 - engine/design validated,not reported,not reported,displayed-label duplicates identified and collapsed for inference,label invariance validated,not assessed,not assessed,not assessed,implementation validated,rejected for displayed-label artifact,Does not alone prove physical clockwise advantage.,,,Physical mirror replay should validate engine direction symmetry.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
seat_order_neutral,Seat-order-neutral directional strategies,position theory,H13_physical_clockwise_outperforms_random,Physical clockwise search outperforms random neutral search.,results/data_analysis/seat_order_neutral/analysis_report.md,Paired physical configuration comparison after collapsing label duplicates.,results/seat_order_neutral/seat_order_neutral_game_level_raw.csv,results/data_analysis/seat_order_neutral/analysis_report.md,30000 rows,30000 rows with deterministic duplicates,10000 strategy/base rows,2500 physical configurations,5,not reported,village_win_rate,physical_clockwise vs random_neutral,random_neutral,physical_clockwise village win 43.24 percent vs random_neutral 40.20 percent,+3.04 pp village win,paired difference and OR,paired OR 1.179,paired difference CI 0.66 to 5.42 pp,0.0136 paired; 0.0293 seed-adjusted,0.0814 paired Holm; 0.1758 seed-adjusted Holm,Holm,LEVEL 4 - robustness-validated,seed-stratified table reported,not reported,label duplicates collapsed,not separately tested,not assessed,not assessed,not assessed,promising but uncertain,unresolved after correction,Positive effect did not survive multiple-comparison correction.,,,Supplied-action replay should test physical-direction engine symmetry.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
physical_direction_replay,Physical-direction replay validation,engine validity,H14_engine_physical_symmetry,Supplied-action replay and physical mirror transformations should preserve outcomes if the engine is symmetric.,results/physical_direction_replay/physical_direction_replay_experiment_report.md,"Exact supplied-action replay, physical mirror replay, and strategy mirror counterfactual validation.",results/physical_direction_replay/supplied_action_replay_game_level_raw.csv,results/physical_direction_replay/physical_direction_replay_experiment_report.md,10000 completed games plus replay-pair summaries,10000 completed games,8500 replay or mirror pairs across validation summaries,8500 validation pairs,not central,not reported,replay match rate,source vs replay or mirror,source action trace,"exact replay, physical mirror, and strategy mirror validations all matched at 100 percent",0 divergences,deterministic replay match,100 percent match,not applicable,not applicable,not applicable,not applicable,LEVEL 5 - engine/design validated,not reported,not reported,supplied-action trace validation,physical mirror symmetry validated,not assessed,not assessed,not assessed,engine symmetry validated,supported,Validation confirms engine symmetry but not strategic superiority.,,,ML policy evaluation should use validated matched live-game controls.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage1,ML Stage 1 observation-safe pilot,machine learning,H15_observation_safe_identity_learning,Observation-safe features can learn useful hidden-identity signals.,results/ml_optimization_stage1/ml_stage1_experiment_report.md,Candidate-row identity prediction and action-value pilot.,results/ml_optimization_stage1/ml_identity_prediction_dataset.csv,results/ml_optimization_stage1/ml_stage1_research_report.md,7155 candidate rows across decision datasets,60 generated games,"decision states or source game families, not candidate rows",NA,5,not reported,ROC-AUC,village-vote logistic vs existing p_wolf,existing_p_wolf,pilot village-vote logistic ROC-AUC 0.9458 vs p_wolf 0.5042,+44.16 AUC points,ROC-AUC difference,+0.4416,not reported,not reported,not reported,not applied,LEVEL 1 - descriptive pilot,grouped split by seed but small,not reported,observation-safe feature registry,not separately tested,not assessed,later Stage 1.5 showed pilot optimism,leakage audit passed,weak/inconclusive,superseded for generalization claims,Pilot AUC did not survive strict grouped validation.,,ml_stage15,Grouped full-state rollout validation should test generalization.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage15,ML Stage 1.5 grouped and full-state validation,machine learning,H16_grouped_identity_generalization,Stage 1 identity models retain strong signal under grouped validation.,results/ml_optimization_stage1/ml_stage1_experiment_report.md,Grouped split identity generalization across regimes.,results/ml_optimization_stage15/ml_identity_generalization_metrics.csv,results/ml_optimization_stage15/ml_stage15_research_report.md,976 candidate rows,84 source game families,source game families and grouped decision states,NA,6 source seeds,7,ROC-AUC,village-vote logistic vs existing p_wolf on final test,existing_p_wolf,logistic ROC-AUC 0.6679 vs existing p_wolf 0.6586,+0.93 AUC points,ROC-AUC difference,+0.0092,not reported,not reported,not reported,not applied,LEVEL 3 - formal validation design,cross-seed metrics exported,cross-regime metrics exported,not reported,not separately tested,not assessed,some diagnostics flagged; pilot optimism revised,leakage audit performed,weak/inconclusive,partially rejected; signal much weaker than pilot,,ml_stage1,,Full rollout action-value policies should be tested in shadow mode only.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage15,ML Stage 1.5 full-state rollout validation,machine learning,H17_surrogate_values_approximate_full_rollouts,Surrogate action values approximate full simulator rollout values.,results/ml_optimization_stage1/ml_stage1_experiment_report.md,"Surrogate-vs-full rollout validation over seer, wolf-kill, and vote actions.",results/ml_optimization_stage15/ml_surrogate_validity_metrics.csv,results/ml_optimization_stage15/ml_stage15_research_report.md,6832 full rollouts; 976 candidate rows,84 source game families,244 decision states,NA,6 source seeds,7,Spearman rank correlation,surrogate value vs full rollout value,full rollout value,seer Spearman 0.299 partial; wolf-kill 0.072 weak; day-vote 0.242 weak,not a percentage-point outcome,Spearman correlation,wolf-kill 0.0718,not reported in primary table,not reported,not reported,not applied,LEVEL 4 - robustness-validated,cross-seed metrics exported,cross-regime metrics exported,not reported,not separately tested,not assessed,not assessed,not assessed,weak/inconclusive,mostly rejected,Full-rollout sample remained modest.,,,Only live matched games can validate deployed policy value.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage15,ML Stage 1.5 shadow wolf-kill policy,machine learning,H18_shadow_wolf_kill_policy_improves_value,A shadow ML wolf-kill action-value recommendation improves wolf-team value.,results/ml_optimization_stage15/ml_stage15_experiment_report.md,Shadow policy comparison on grouped final-test decision states.,results/ml_optimization_stage15/ml_shadow_policy_comparison.csv,results/ml_optimization_stage15/ml_stage15_research_report.md,24 shadow summary rows,84 source game families overall,decision states by split and action type,NA,6 source seeds,7,mean_policy_value,wolf_kill ml_action_value_recommendation vs existing on final test,existing rule value,final-test shadow value 0.850 vs existing 0.700,+0.150 action value,mean action-value difference,+0.150,bootstrap CIs available in source artifacts but not transcribed here,not reported,not reported,not applied,LEVEL 3 - formal validation design,not reported,not reported,not reported,not separately tested,not assessed,shadow-only; later live Stage 2A contradicted,not assessed,surrogate-only improvement,superseded by live Stage 2A,,,ml_stage2a,Freeze and test the wolf-kill model in live matched complete games.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage2a,ML Stage 2A frozen wolf-kill live experiment,machine learning,H19_frozen_ml_improves_live_wolf_win,A frozen ML wolf-kill policy improves live wolf win rate over the existing rule.,results/ml_optimization_stage15/ml_stage15_research_report.md,Matched live complete-game policy comparison.,results/ml_optimization_stage2a/wolf_kill_live_game_level_raw.csv,results/ml_optimization_stage2a/ml_stage2a_research_report.md,800 live game rows; 2600 live decision rows; 14380 prediction rows,800,200 matched sets,200,20 live final seeds,multiple live regimes reported,wolf_win_rate,frozen_ml vs existing_rule,existing_rule,wolf win fell from 69.50 percent to 61.00 percent,-8.50 pp,discordant matched odds ratio,0.5696,"difference CI [-16.08, -0.92] pp",0.0396,0.0792,Holm,LEVEL 4 - robustness-validated,20 final seeds assessed,regime robustness exported,not reported,not separately tested,candidate rows include substantial strong-shift subset,live harmful in pilot; not simple overfitting flag,information-leakage audit passed,weak/inconclusive,rejected in pilot after correction,,ml_stage15,,ML Stage 2B should diagnose offline-to-live failure.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage2a,ML Stage 2A frozen hybrid live experiment,machine learning,H20_hybrid_improves_live_wolf_win,A 50/50 ML-rule hybrid improves or remains competitive with the existing rule.,results/ml_optimization_stage2a/ml_stage2a_pre_registration.md,Matched live complete-game policy comparison.,results/ml_optimization_stage2a/wolf_kill_live_game_level_raw.csv,results/ml_optimization_stage2a/ml_stage2a_research_report.md,800 live game rows; 2600 live decision rows; 14380 prediction rows,800,200 matched sets,200,20 live final seeds,multiple live regimes reported,wolf_win_rate,frozen_hybrid_50_50 vs existing_rule,existing_rule,wolf win fell from 69.50 percent to 58.00 percent,-11.50 pp,discordant matched odds ratio,0.3521,"difference CI [-18.04, -4.96] pp",0.0011,0.0033,Holm,LEVEL 4 - robustness-validated,20 final seeds assessed,regime robustness exported,not reported,not separately tested,candidate rows include substantial strong-shift subset,live harmful in pilot,information-leakage audit passed,statistically supported harmful effect,rejected,,ml_stage15,,Diagnose whether hybrid diluted special-role targeting and compounded state drift.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage2a,ML Stage 2A epsilon live experiment,machine learning,H21_epsilon_ml_improves_live_wolf_win,A 10 percent epsilon-greedy ML policy improves live wolf win rate while reducing brittleness.,results/ml_optimization_stage2a/ml_stage2a_pre_registration.md,Matched live complete-game policy comparison.,results/ml_optimization_stage2a/wolf_kill_live_game_level_raw.csv,results/ml_optimization_stage2a/ml_stage2a_research_report.md,800 live game rows; 2600 live decision rows; 14380 prediction rows,800,200 matched sets,200,20 live final seeds,multiple live regimes reported,wolf_win_rate,frozen_ml_epsilon_010 vs existing_rule,existing_rule,wolf win fell from 69.50 percent to 61.00 percent,-8.50 pp,discordant matched odds ratio,0.5802,"difference CI [-16.21, -0.79] pp",0.0430,0.0792,Holm,LEVEL 4 - robustness-validated,20 final seeds assessed,regime robustness exported,not reported,not separately tested,candidate rows include substantial strong-shift subset,live harmful in pilot,information-leakage audit passed,weak/inconclusive,rejected in pilot after correction,,ml_stage15,,Diagnose whether exploration changes repeated-decision state drift.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ml_stage2b,ML Stage 2B offline-to-live failure diagnosis,machine learning,H22_single_ml_intervention_value,A single frozen-ML wolf-kill intervention can avoid continuous-policy compounding.,results/ml_optimization_stage2a/ml_stage2a_research_report.md,Matched live complete games plus sampled single-intervention rollouts using frozen Stage 2A wolf-kill model.,results/ml_optimization_stage2b/stage2b_live_game_level_raw.csv,results/ml_optimization_stage2b/ml_stage2b_research_report.md,1600 live game rows; 5428 live decision rows; 29931 candidate prediction rows,1600,matched complete-game sets,200,20,10,wolf_win_rate,ml_first_kill_only vs existing_rule,existing_rule,single intervention wolf win 72.00% vs existing 71.00%,+1.00 pp,matched percentage-point difference,+1.00 pp,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,Holm for four primary contrasts,LEVEL 4 - robustness-validated,see stage2b_seed_robustness.csv,see stage2b_regime_robustness.csv,final seeds excluded from threshold selection,uses existing complete-game engine,see stage2b_distribution_shift_summary.csv,primary frozen model not retrained in Stage 2B,information-leakage audit passed,promising but uncertain,unresolved,Single live policy and sampled rollouts remain simulator-specific.,,,Formal Bag-of-Words speech metrics should explain how language-like signals change belief calibration.,28299a910cb42c110f6265257a013f1ff8c37e4e,pending_current_stage_commit
ml_stage2b,ML Stage 2B offline-to-live failure diagnosis,machine learning,H23_two_ml_intervention_value,Two early ML interventions differ from a single intervention.,results/ml_optimization_stage2a/ml_stage2a_research_report.md,Matched live complete games plus sampled single-intervention rollouts using frozen Stage 2A wolf-kill model.,results/ml_optimization_stage2b/stage2b_live_game_level_raw.csv,results/ml_optimization_stage2b/ml_stage2b_research_report.md,1600 live game rows; 5428 live decision rows; 29931 candidate prediction rows,1600,matched complete-game sets,200,20,10,wolf_win_rate,ml_first_two_kills vs existing_rule,existing_rule,two-intervention wolf win 63.00%,-8.00 pp,matched percentage-point difference,-8.00 pp,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,Holm for four primary contrasts,LEVEL 4 - robustness-validated,see stage2b_seed_robustness.csv,see stage2b_regime_robustness.csv,final seeds excluded from threshold selection,uses existing complete-game engine,see stage2b_distribution_shift_summary.csv,primary frozen model not retrained in Stage 2B,information-leakage audit passed,weak/inconclusive,unresolved,Intervention count is partly censored by early game endings.,,,Formal Bag-of-Words speech metrics should explain how language-like signals change belief calibration.,28299a910cb42c110f6265257a013f1ff8c37e4e,pending_current_stage_commit
ml_stage2b,ML Stage 2B offline-to-live failure diagnosis,machine learning,H24_continuous_ml_compounding,Continuous frozen ML control remains worse than the existing rule.,results/ml_optimization_stage2a/ml_stage2a_research_report.md,Matched live complete games plus sampled single-intervention rollouts using frozen Stage 2A wolf-kill model.,results/ml_optimization_stage2b/stage2b_live_game_level_raw.csv,results/ml_optimization_stage2b/ml_stage2b_research_report.md,1600 live game rows; 5428 live decision rows; 29931 candidate prediction rows,1600,matched complete-game sets,200,20,10,wolf_win_rate,continuous_frozen_ml vs existing_rule,existing_rule,continuous ML wolf win 61.00%,-10.00 pp,matched percentage-point difference,-10.00 pp,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,Holm for four primary contrasts,LEVEL 4 - robustness-validated,see stage2b_seed_robustness.csv,see stage2b_regime_robustness.csv,final seeds excluded from threshold selection,uses existing complete-game engine,see stage2b_distribution_shift_summary.csv,primary frozen model not retrained in Stage 2B,information-leakage audit passed,weak/inconclusive,supported,"Pilot scale may be smaller than the preferred 25,000-game design.",,,Formal Bag-of-Words speech metrics should explain how language-like signals change belief calibration.,28299a910cb42c110f6265257a013f1ff8c37e4e,pending_current_stage_commit
ml_stage2b,ML Stage 2B offline-to-live failure diagnosis,machine learning,H25_policy_induced_distribution_shift,Repeated ML use increases distribution-shift diagnostics.,results/ml_optimization_stage2a/ml_stage2a_research_report.md,Matched live complete games plus sampled single-intervention rollouts using frozen Stage 2A wolf-kill model.,results/ml_optimization_stage2b/stage2b_live_game_level_raw.csv,results/ml_optimization_stage2b/ml_stage2b_research_report.md,1600 live game rows; 5428 live decision rows; 29931 candidate prediction rows,1600,matched complete-game sets,200,20,10,wolf_win_rate,cumulative ML interventions and shift summaries,existing_rule,see distribution shift summary,not a percentage-point outcome,matched percentage-point difference,not a percentage-point outcome,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,Holm for four primary contrasts,LEVEL 4 - robustness-validated,see stage2b_seed_robustness.csv,see stage2b_regime_robustness.csv,final seeds excluded from threshold selection,uses existing complete-game engine,see stage2b_distribution_shift_summary.csv,primary frozen model not retrained in Stage 2B,information-leakage audit passed,promising but uncertain,unresolved,Shift metrics are diagnostic and not causal mediation estimates.,,,Formal Bag-of-Words speech metrics should explain how language-like signals change belief calibration.,28299a910cb42c110f6265257a013f1ff8c37e4e,pending_current_stage_commit
ml_stage2b,ML Stage 2B offline-to-live failure diagnosis,machine learning,H26_low_margin_instability,Low-margin ML rankings contribute to unstable or harmful decisions.,results/ml_optimization_stage2a/ml_stage2a_research_report.md,Matched live complete games plus sampled single-intervention rollouts using frozen Stage 2A wolf-kill model.,results/ml_optimization_stage2b/stage2b_live_game_level_raw.csv,results/ml_optimization_stage2b/ml_stage2b_research_report.md,1600 live game rows; 5428 live decision rows; 29931 candidate prediction rows,1600,matched complete-game sets,200,20,10,wolf_win_rate,margin bands by policy,high_margin decisions,see margin band analysis,not a percentage-point outcome,matched percentage-point difference,not a percentage-point outcome,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,see stage2b_primary_contrasts.csv,Holm for four primary contrasts,LEVEL 4 - robustness-validated,see stage2b_seed_robustness.csv,see stage2b_regime_robustness.csv,final seeds excluded from threshold selection,uses existing complete-game engine,see stage2b_distribution_shift_summary.csv,primary frozen model not retrained in Stage 2B,information-leakage audit passed,promising but uncertain,unresolved,Decision rows are not independent games.,,,Formal Bag-of-Words speech metrics should explain how language-like signals change belief calibration.,28299a910cb42c110f6265257a013f1ff8c37e4e,pending_current_stage_commit
