claim_id,claim_summary,stage,source_file,source_table_or_section,dataset,analysis_script,commit_hash,verification_status,notes
C15,ML Stage 1 village-vote ROC-AUC 0.9458,ML Stage 1,results/ml_optimization_stage1/ml_stage1_experiment_report.md,Identity Prediction Results,results/ml_optimization_stage1/ml_identity_model_metrics.csv,ml_model_training.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Superseded by Stage 1.5 for generalization.
C16,ML Stage 1.5 village-vote ROC-AUC 0.6679,ML Stage 1.5,results/ml_optimization_stage15/ml_stage15_experiment_report.md,Identity Generalization,results/ml_optimization_stage15/ml_identity_generalization_metrics.csv,ml_nested_validation.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Grouped final-test result.
C17,ML Stage 1.5 wolf-kill surrogate Spearman 0.0718,ML Stage 1.5,results/ml_optimization_stage15/ml_stage15_experiment_report.md,Surrogate vs Full Rollout,results/ml_optimization_stage15/ml_surrogate_validity_metrics.csv,ml_nested_validation.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Weak validity.
C18,ML Stage 1.5 shadow wolf-kill improvement +0.150,ML Stage 1.5,results/ml_optimization_stage15/ml_stage15_experiment_report.md,Shadow Policy Results,results/ml_optimization_stage15/ml_shadow_policy_comparison.csv,ml_nested_validation.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Superseded by live Stage 2A.
C19,ML Stage 2A existing_rule wolf win 69.50 percent,ML Stage 2A,results/ml_optimization_stage2a/ml_stage2a_experiment_report.md,Live policy summary,results/ml_optimization_stage2a/wolf_kill_live_policy_summary.csv,ml_stage2a_wolf_kill_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Live complete games.
C20,"ML Stage 2A hybrid harmful, Holm p 0.0033",ML Stage 2A,results/ml_optimization_stage2a/ml_stage2a_experiment_report.md,Primary contrasts,results/ml_optimization_stage2a/wolf_kill_primary_contrasts.csv,ml_stage2a_wolf_kill_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Statistically supported harmful effect.
C21,Original proposal file was not found,Proposal alignment,MISSING:DURF proposal file,Repository search,MISSING:DURF proposal file,none,e4e583387febd51dddc6330076db6f2a2a7532bc,source_not_found,Used user-provided proposal summary.
C22,ML Stage 2B live matched policies diagnose wolf-kill failure,ML Stage 2B,results/ml_optimization_stage2b/ml_stage2b_research_report.md,Live Policy Results,results/ml_optimization_stage2b/stage2b_live_game_level_raw.csv,ml_stage2b_analysis.py,28299a910cb42c110f6265257a013f1ff8c37e4e,verified_from_source,Final-test seeds 220-239 are isolated from threshold calibration.
C23,ML Stage 2B selective override is threshold-frozen before final evaluation,ML Stage 2B,results/ml_optimization_stage2b/selective_override_manifest.json,rule,results/ml_optimization_stage2b/stage2b_live_decision_raw.csv,ml_stage2b_selective_override.py,28299a910cb42c110f6265257a013f1ff8c37e4e,verified_from_source,Development and validation seeds only.
C_R2_1,R2 generated a real text-based BoW utterance dataset,R2 BoW,results/bow_speech_stage_r2/bow_stage_r2_research_report.md,Data Scale and Splits,results/bow_speech_stage_r2/bow_speech_utterance_dataset.csv,bow_stage_r2_experiment.py,8c3e35f43c0b29c5413dfa992d66f31f7722e993,verified_from_source,1600 games and 32721 utterances.
C_R2_2,R2 vocabulary was built from train split only,R2 BoW,results/bow_speech_stage_r2/bow_vocabulary_manifest.json,built_from_split,results/bow_speech_stage_r2/bow_vocabulary.csv,bow_dataset_generation.py,8c3e35f43c0b29c5413dfa992d66f31f7722e993,verified_from_source,Vocabulary size 289.
C_R2_3,BoW score constructs are significant in pre-specified contrasts,R2 BoW,results/bow_speech_stage_r2/bow_score_intent_contrasts.csv,all rows,results/bow_speech_stage_r2/bow_score_intent_contrasts.csv,bow_evaluation.py,8c3e35f43c0b29c5413dfa992d66f31f7722e993,verified_from_source,Holm-adjusted p-values reported.
C_R2_4,BoW scores outperform p_wolf and suspicion scalar baselines for speaker-is-wolf prediction,R2 BoW,results/bow_speech_stage_r2/bow_role_prediction_metrics.csv,final_test rows,results/bow_speech_stage_r2/bow_role_prediction_metrics.csv,bow_evaluation.py,8c3e35f43c0b29c5413dfa992d66f31f7722e993,verified_from_source,BoW score AUC 0.692 vs p_wolf 0.569 and suspicion 0.515.
C_R2_5,Full vector BoW is template-bound under unseen-template evaluation,R2 BoW,results/bow_speech_stage_r2/bow_template_generalization_metrics.csv,full_bow_vector_naive_bayes,results/bow_speech_stage_r2/bow_template_generalization_metrics.csv,bow_evaluation.py,8c3e35f43c0b29c5413dfa992d66f31f7722e993,verified_from_source,AUC drops to 0.361 in OOD-template split.
C_R2_6,Information leakage audit passed,R2 BoW,results/bow_speech_stage_r2/bow_stage_r2_information_leakage_audit.md,Status,results/bow_speech_stage_r2/bow_speech_utterance_dataset.csv,bow_stage_r2_analysis.py,8c3e35f43c0b29c5413dfa992d66f31f7722e993,verified_from_source,No hidden information leakage flags.
C_R3_1,R3 live game outcomes,R3,results/bow_integration_stage_r3/r3_research_report.md,R3 summaries,results/bow_integration_stage_r3/r3_live_game_level_raw.csv,bow_r3_analysis.py,41ada89d80b26be6fbb3f8b4755f724aaa93f407,verified_from_source,R3 guarded BoW integration artifact.
C_R3_2,R3 vote quality,R3,results/bow_integration_stage_r3/r3_research_report.md,R3 summaries,results/bow_integration_stage_r3/r3_live_game_level_raw.csv,bow_r3_analysis.py,41ada89d80b26be6fbb3f8b4755f724aaa93f407,verified_from_source,R3 guarded BoW integration artifact.
C_R3_3,R3 belief calibration,R3,results/bow_integration_stage_r3/r3_research_report.md,R3 summaries,results/bow_integration_stage_r3/r3_live_game_level_raw.csv,bow_r3_analysis.py,41ada89d80b26be6fbb3f8b4755f724aaa93f407,verified_from_source,R3 guarded BoW integration artifact.
C_R3_4,R3 template and regime robustness,R3,results/bow_integration_stage_r3/r3_research_report.md,R3 summaries,results/bow_integration_stage_r3/r3_live_game_level_raw.csv,bow_r3_analysis.py,41ada89d80b26be6fbb3f8b4755f724aaa93f407,verified_from_source,R3 guarded BoW integration artifact.
C_R3_5,R3 leakage audit,R3,results/bow_integration_stage_r3/r3_research_report.md,R3 summaries,results/bow_integration_stage_r3/r3_live_game_level_raw.csv,bow_r3_analysis.py,41ada89d80b26be6fbb3f8b4755f724aaa93f407,verified_from_source,R3 guarded BoW integration artifact.
C_R3_6,R3 policy manifests,R3,results/bow_integration_stage_r3/r3_research_report.md,R3 summaries,results/bow_integration_stage_r3/r3_live_game_level_raw.csv,bow_r3_analysis.py,41ada89d80b26be6fbb3f8b4755f724aaa93f407,verified_from_source,R3 guarded BoW integration artifact.
C_R4_1,unified payoff manifest,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_2,villager payoff validation,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_3,seer payoff validation,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_4,witch payoff validation,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_5,hunter payoff validation,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_6,werewolf payoff validation,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_7,terminal/action decomposition,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_8,opportunity-cost definition,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_9,double-counting audit,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_10,historical recalculation coverage,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_11,strategy payoff comparison,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_12,payoff sensitivity,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R4_13,R5 readiness,R4,results/payoff_matrix_stage_r4/r4_research_report.md,R4 summaries,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,payoff_stage_r4_analysis.py,f3e19b917d29494fa825ccc4b156284aa206925e,verified_from_source,Unified payoff matrix artifact.
C_R5_1,R5 expected payoff by role,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_role_expected_payoff_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_2,R5 volatility by role,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_role_volatility_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_3,R5 downside risk by role,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_role_downside_risk_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_4,R5 VaR-like and CVaR-like metrics,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_role_var_cvar_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_5,R5 Sharpe-like and Sortino-like ratios,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_role_sharpe_like_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_6,R5 information premium,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_information_premium_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_7,R5 manipulation premium,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_manipulation_premium_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_8,R5 strategy frontier,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_strategy_frontier_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_9,R5 coefficient sensitivity,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_coefficient_sensitivity_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_10,R5 validation summary,R5,results/financial_risk_stage_r5/r5_research_report.md,R5 summaries,results/financial_risk_stage_r5/r5_metric_validation_summary.csv,financial_stage_r5_analysis.py,896fc4c2335afd3233f017f223128be2f50f65a9,verified_from_source,"Financial-risk game-payoff analogue, not literal finance."
C_R5_1_ATTRIBUTION,R5 strategy labels are global configurations unless owner role equals affected role.,R5.1,results/financial_risk_stage_r51/r51_research_report.md,Technical Summary,results/financial_risk_stage_r51/r51_r5_strategy_mapping_audit.csv,financial_stage_r51_experiment.py,8390ce1e255c8ba7a2b23f39ca1171d203821316,verified_from_source,R5.1 actor-specific reconstruction.
C_R6_01,R6 Villager default: structured speech plus belief/trust-aware voting reference,R6,results/role_strategy_synthesis_stage_r6/r6_role_strategy_decision_matrix.csv,Role strategy decision matrix,results/role_strategy_synthesis_stage_r6/r6_data_analysis_summary.csv,role_strategy_stage_r6_experiment.py,cbba9c149cec3bf65f9a13a0dcfa58cba89150c9,verified_from_source,Villager-owned structured voting policies remain sparse.
C_R6_02,R6 Seer default: random or diversified checking reference,R6,results/role_strategy_synthesis_stage_r6/r6_role_strategy_decision_matrix.csv,Role strategy decision matrix,results/role_strategy_synthesis_stage_r6/r6_data_analysis_summary.csv,role_strategy_stage_r6_experiment.py,cbba9c149cec3bf65f9a13a0dcfa58cba89150c9,verified_from_source,reveal timing remains unresolved.
C_R6_03,R6 Witch default: conservative poison as uncertain candidate; retain current potion safeguards,R6,results/role_strategy_synthesis_stage_r6/r6_role_strategy_decision_matrix.csv,Role strategy decision matrix,results/role_strategy_synthesis_stage_r6/r6_data_analysis_summary.csv,role_strategy_stage_r6_experiment.py,cbba9c149cec3bf65f9a13a0dcfa58cba89150c9,verified_from_source,joint save and poison timing not isolated.
C_R6_04,R6 Hunter default: no new recommendation,R6,results/role_strategy_synthesis_stage_r6/r6_role_strategy_decision_matrix.csv,Role strategy decision matrix,results/role_strategy_synthesis_stage_r6/r6_data_analysis_summary.csv,role_strategy_stage_r6_experiment.py,cbba9c149cec3bf65f9a13a0dcfa58cba89150c9,verified_from_source,"role-level tail risk is high, but strategy attribution is missing."
C_R6_05,R6 Werewolf default: existing night-kill rule plus credibility-constrained deception diagnostics,R6,results/role_strategy_synthesis_stage_r6/r6_role_strategy_decision_matrix.csv,Role strategy decision matrix,results/role_strategy_synthesis_stage_r6/r6_data_analysis_summary.csv,role_strategy_stage_r6_experiment.py,cbba9c149cec3bf65f9a13a0dcfa58cba89150c9,verified_from_source,aggression versus deep-cover deception is unresolved.
