stage_id,experiment_id,research_question,experiment_type,role_or_mechanism,policies_or_conditions,raw_game_rows,unique_games,matched_sets,seeds,regimes,player_rows,event_rows,utterance_rows,rollout_rows,candidate_rows,independent_unit,primary_outcome,secondary_outcomes,formal_inference,multiplicity_method,manifest_or_hash,source_report,source_data,evidence_status,included_in_final_analysis,exclusion_reason,notes
ml_stage15,grouped_full_state_validation,RQ4;RQ6,grouped validation and full-state rollout,ML generalization,grouped identity and rollout validations,not_reported,244,not_applicable,6,7,not_reported,not_reported,not_applicable,6832,320,source game family and grouped decision state,final-test ROC-AUC and rollout value,policy regret,grouped validation,not_applicable,not_applicable,results/ml_optimization_stage15/ml_stage15_research_report.md,results/ml_optimization_stage15/ml_identity_generalization_metrics.csv,weak_inconclusive,yes,not_applicable,Candidate rows and rollout branches are not live games.
ml_stage2a,frozen_ml_wolf_kill_live,RQ4,matched live policy test,ML wolf night kill,"existing, frozen ML, hybrid, epsilon",800,800,200,20,10,not_reported,2600,not_applicable,not_applicable,14380,matched live complete-game set,wolf win rate,special-role kill rate and distribution shift,yes,Holm,Stage 2A frozen model manifest,results/ml_optimization_stage2a/ml_stage2a_research_report.md,results/ml_optimization_stage2a/wolf_kill_primary_contrasts.csv,live_policy_harm_or_no_improvement,yes,not_applicable,Live policy outcomes outrank shadow policy value.
ml_stage2b,offline_to_live_failure_diagnostics,RQ4,matched live diagnostic variants,ML wolf night kill intervention frequency,"single, two-step, continuous, selective, shadow",1600,1600,200,not_reported,10,not_reported,5428,not_applicable,100,29931,matched live complete-game set,wolf win rate,intervention count and special-role targeting,yes,Holm,Stage 2A frozen model reused,results/ml_optimization_stage2b/ml_stage2b_research_report.md,results/ml_optimization_stage2b/stage2b_primary_contrasts.csv,diagnostic_only,yes,not_applicable,ML remains diagnostic only.
r4_payoff_matrix,unified_payoff_ledger,RQ3,analysis-only payoff ledger,role payoff decomposition,core and extended payoff specifications,4000,2000,400,10,5,40000,200660,not_applicable,not_applicable,not_applicable,complete game; player rows clustered within game,role payoff,action and opportunity-cost decomposition,ledger validation,not_applicable,eee8007693ec6a484632f61444a53f6f8b1b9feb64b18c865f0edf704a15c7cd,results/payoff_matrix_stage_r4/r4_research_report.md,results/payoff_matrix_stage_r4/r4_player_level_payoff_raw.csv,unified_payoff_system_validated,yes,not_applicable,R4 and R5 game rows overlap; do not sum as independent games.
r5_financial_risk,financial_risk_metrics,RQ3,analysis-only risk metrics,payoff volatility and downside risk,core and extended specifications,4000,2000,400,10,5,40000,200660,not_applicable,not_applicable,not_applicable,complete game for bootstrap; player rows clustered within game,risk-adjusted role payoff,"VaR-like, CVaR-like, Sharpe-like, Sortino-like metrics",bootstrap CIs and robustness,not_applicable,4b48f5aae165d6c30d5a13cd2e9c3e01f5b595ddbfeb93f7c1832b018f6861bf,results/financial_risk_stage_r5/r5_research_report.md,results/financial_risk_stage_r5/r5_role_expected_payoff_summary.csv,financial_analogy_supported,yes,not_applicable,Derived from R4 payoff data; do not double count R4 rows.
r51_attribution,actor_specific_strategy_audit,RQ2;RQ3,actor-specific attribution correction,strategy ownership,actor-owned strategy rows,not_reported,not_reported,not_reported,not_reported,not_reported,7200,not_reported,not_applicable,not_applicable,not_applicable,actor-specific strategy row clustered by source game,actor payoff difference,externality and premium attribution,yes where coverage exists,Holm where applicable,R4/R5 frozen hashes,results/financial_risk_stage_r51/r51_research_report.md,results/financial_risk_stage_r51/r51_actor_specific_primary_contrasts.csv,attribution_corrected,yes,not_applicable,Supersedes global R5 labels for role-specific strategy claims.
r6_role_strategy_synthesis,role_strategy_evidence_matrix,RQ2,synthesis,all roles,role strategy decision matrix,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,evidence row,recommended tested policy,evidence grade and contradictions,synthesis only,not_applicable,not_applicable,results/role_strategy_synthesis_stage_r6/r6_research_report.md,results/role_strategy_synthesis_stage_r6/r6_role_strategy_decision_matrix.csv,ready_for_targeted_gaps,yes,not_applicable,Refined by R6.1 targeted experiments and R6.2 metric audit.
r61_targeted_strategy,targeted_role_strategy_gap_closure,RQ2;RQ3;RQ5,matched role-policy experiments,"Seer, Witch, Hunter, Werewolf, Villager",30 targeted role policies,30000,30000,5000 role-module matched sets,20,10,not_reported,216587,not_applicable,not_applicable,not_applicable,matched role-module configuration set,actor payoff and faction win rate,risk metrics and action quality,yes,Holm within role modules,R4/R5 frozen hashes,results/targeted_strategy_stage_r61/r61_research_report.md,results/targeted_strategy_stage_r61/r61_global_primary_contrasts.csv,primary_role_strategy_evidence,yes,not_applicable,Main source for final role-specific recommendations.
r62_metrics_integrity,seer_survival_witch_potion_audit,RQ2;RQ3;RQ5,metric integrity audit,Seer survival and Witch potion lifecycle,seer reveal policies and witch joint policies,supplementary_metric_audit,1200 seer + 1200 witch supplementary life-cycle games,not_reported,not_reported,not_reported,not_reported,1200,not_applicable,not_applicable,not_applicable,reconstructable role life-cycle game,metric validity and lifecycle waste,"post-reveal hazard, potion waste categories",audit and bootstrap summaries,not_applicable,0d5e284c625dd63181c6ee852e565a10506271cba3b3684da3b612c634d2e537,results/metrics_integrity_stage_r62/r62_research_report.md,results/metrics_integrity_stage_r62/r62_seer_survival_summary.csv; results/metrics_integrity_stage_r62/r62_witch_potion_waste_summary.csv,metric_integrity_corrected,yes,not_applicable,Supersedes narrow terminal survival and earlier Witch waste proxy interpretations.
r7_literature,systematic_literature_synthesis,RQ1;RQ2;RQ3;RQ4;RQ5;RQ6,literature synthesis,all mechanisms,64 retained sources,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,literature source and project finding mapping,source coverage,contradiction and financial analogy crosswalk,not_applicable,not_applicable,not_applicable,results/literature_synthesis_stage_r7/r7_research_report.md,results/literature_synthesis_stage_r7/r7_finding_literature_comparison_matrix.csv,ready_for_synthesis,yes,not_applicable,R7.1 controls final bibliography eligibility.
r71_doi_recency,doi_verified_recency_audit,RQ1;RQ2;RQ3;RQ4;RQ5;RQ6,DOI and recency bibliography audit,literature integration,44 final DOI-backed sources,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,literature source and finding-literature mapping,DOI-only final bibliography,recency share and foundational exception coverage,not_applicable,not_applicable,not_applicable,results/literature_doi_recency_audit_stage_r71/r71_research_report.md,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv,doi_only_ready_for_r8,yes,not_applicable,No no-DOI source may be used in final written-report citations.
