seed,seed_split,original_usage,used_for_policy_development,used_for_r61_final_inference,used_for_r8_recommendation_selection,reuse_classification,raw_gameplay_leakage,audit_note
538,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
539,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
540,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
541,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
542,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
543,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
544,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
545,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
546,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
547,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
548,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
549,ood_stress,future stress testing,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
