matched_set_id,seed,seed_split,behavioral_regime,replicate_index,game_seed
r82_seed822_deception_enabled_rep05,822,r82_independent_replication,deception_enabled,5,31261482995674
r82_seed822_heterogeneous_risk_rep01,822,r82_independent_replication,heterogeneous_risk,1,85720828456259
r82_seed822_heterogeneous_risk_rep02,822,r82_independent_replication,heterogeneous_risk,2,229767839528063
r82_seed822_heterogeneous_risk_rep03,822,r82_independent_replication,heterogeneous_risk,3,167275236520467
r82_seed822_heterogeneous_risk_rep04,822,r82_independent_replication,heterogeneous_risk,4,75563911532596
r82_seed822_heterogeneous_risk_rep05,822,r82_independent_replication,heterogeneous_risk,5,106401425073757
r82_seed822_strong_village_information_rep01,822,r82_independent_replication,strong_village_information,1,178902834626660
r82_seed822_strong_village_information_rep02,822,r82_independent_replication,strong_village_information,2,97011653770426
r82_seed822_strong_village_information_rep03,822,r82_independent_replication,strong_village_information,3,21165497125261
r82_seed822_strong_village_information_rep04,822,r82_independent_replication,strong_village_information,4,110039284030605
r82_seed822_strong_village_information_rep05,822,r82_independent_replication,strong_village_information,5,279774796769789
r82_seed822_weak_village_information_rep01,822,r82_independent_replication,weak_village_information,1,143052603395742
r82_seed822_weak_village_information_rep02,822,r82_independent_replication,weak_village_information,2,113529440795749
r82_seed822_weak_village_information_rep03,822,r82_independent_replication,weak_village_information,3,40907526538182
r82_seed822_weak_village_information_rep04,822,r82_independent_replication,weak_village_information,4,101761002130687
r82_seed822_weak_village_information_rep05,822,r82_independent_replication,weak_village_information,5,44910979047650
r82_seed822_high_emotional_speech_rep01,822,r82_independent_replication,high_emotional_speech,1,29518563495609
r82_seed822_high_emotional_speech_rep02,822,r82_independent_replication,high_emotional_speech,2,132771607231420
r82_seed822_high_emotional_speech_rep03,822,r82_independent_replication,high_emotional_speech,3,251852682781229
r82_seed822_high_emotional_speech_rep04,822,r82_independent_replication,high_emotional_speech,4,253043324995632
r82_seed822_high_emotional_speech_rep05,822,r82_independent_replication,high_emotional_speech,5,85299409732220
r82_seed822_low_information_speech_rep01,822,r82_independent_replication,low_information_speech,1,69981141610187
r82_seed822_low_information_speech_rep02,822,r82_independent_replication,low_information_speech,2,92220988410764
r82_seed822_low_information_speech_rep03,822,r82_independent_replication,low_information_speech,3,107587030787078
r82_seed822_low_information_speech_rep04,822,r82_independent_replication,low_information_speech,4,241661779554494
r82_seed822_low_information_speech_rep05,822,r82_independent_replication,low_information_speech,5,280538050983444
r82_seed822_mixed_strategies_rep01,822,r82_independent_replication,mixed_strategies,1,13617379318545
r82_seed822_mixed_strategies_rep02,822,r82_independent_replication,mixed_strategies,2,228705895311767
r82_seed822_mixed_strategies_rep03,822,r82_independent_replication,mixed_strategies,3,164897074037139
r82_seed822_mixed_strategies_rep04,822,r82_independent_replication,mixed_strategies,4,110698410054253
r82_seed822_mixed_strategies_rep05,822,r82_independent_replication,mixed_strategies,5,122931367925740
r82_seed823_baseline_rep01,823,r82_independent_replication,baseline,1,139433856915086
r82_seed823_baseline_rep02,823,r82_independent_replication,baseline,2,227730119383786
r82_seed823_baseline_rep03,823,r82_independent_replication,baseline,3,141611607887130
r82_seed823_baseline_rep04,823,r82_independent_replication,baseline,4,138109067782669
r82_seed823_baseline_rep05,823,r82_independent_replication,baseline,5,113582624619643
r82_seed823_speech_enabled_rep01,823,r82_independent_replication,speech_enabled,1,101610702764639
r82_seed823_speech_enabled_rep02,823,r82_independent_replication,speech_enabled,2,16750879442373
r82_seed823_speech_enabled_rep03,823,r82_independent_replication,speech_enabled,3,223645555703664
r82_seed823_speech_enabled_rep04,823,r82_independent_replication,speech_enabled,4,214762870151688
r82_seed823_speech_enabled_rep05,823,r82_independent_replication,speech_enabled,5,108598839367393
r82_seed823_herding_enabled_rep01,823,r82_independent_replication,herding_enabled,1,60948954841490
r82_seed823_herding_enabled_rep02,823,r82_independent_replication,herding_enabled,2,255151416261105
r82_seed823_herding_enabled_rep03,823,r82_independent_replication,herding_enabled,3,280392816688020
r82_seed823_herding_enabled_rep04,823,r82_independent_replication,herding_enabled,4,34737654439112
r82_seed823_herding_enabled_rep05,823,r82_independent_replication,herding_enabled,5,146333905197465
r82_seed823_deception_enabled_rep01,823,r82_independent_replication,deception_enabled,1,145098741782947
r82_seed823_deception_enabled_rep02,823,r82_independent_replication,deception_enabled,2,165472822099161
r82_seed823_deception_enabled_rep03,823,r82_independent_replication,deception_enabled,3,19231393215389
r82_seed823_deception_enabled_rep04,823,r82_independent_replication,deception_enabled,4,89306536284232
r82_seed823_deception_enabled_rep05,823,r82_independent_replication,deception_enabled,5,199860231509227
r82_seed823_heterogeneous_risk_rep01,823,r82_independent_replication,heterogeneous_risk,1,139197577324963
r82_seed823_heterogeneous_risk_rep02,823,r82_independent_replication,heterogeneous_risk,2,33346421559443
r82_seed823_heterogeneous_risk_rep03,823,r82_independent_replication,heterogeneous_risk,3,40116411334438
r82_seed823_heterogeneous_risk_rep04,823,r82_independent_replication,heterogeneous_risk,4,172838238453937
r82_seed823_heterogeneous_risk_rep05,823,r82_independent_replication,heterogeneous_risk,5,280481525329808
r82_seed823_strong_village_information_rep01,823,r82_independent_replication,strong_village_information,1,51165574370025
r82_seed823_strong_village_information_rep02,823,r82_independent_replication,strong_village_information,2,215621699493463
r82_seed823_strong_village_information_rep03,823,r82_independent_replication,strong_village_information,3,25219932411971
r82_seed823_strong_village_information_rep04,823,r82_independent_replication,strong_village_information,4,220268264202535
r82_seed823_strong_village_information_rep05,823,r82_independent_replication,strong_village_information,5,22149684862137
r82_seed823_weak_village_information_rep01,823,r82_independent_replication,weak_village_information,1,187468358910313
r82_seed823_weak_village_information_rep02,823,r82_independent_replication,weak_village_information,2,44093079143077
r82_seed823_weak_village_information_rep03,823,r82_independent_replication,weak_village_information,3,123201081106757
r82_seed823_weak_village_information_rep04,823,r82_independent_replication,weak_village_information,4,272422845825621
r82_seed823_weak_village_information_rep05,823,r82_independent_replication,weak_village_information,5,197967303932179
r82_seed823_high_emotional_speech_rep01,823,r82_independent_replication,high_emotional_speech,1,261494296967367
r82_seed823_high_emotional_speech_rep02,823,r82_independent_replication,high_emotional_speech,2,188026087049834
r82_seed823_high_emotional_speech_rep03,823,r82_independent_replication,high_emotional_speech,3,76999518765599
r82_seed823_high_emotional_speech_rep04,823,r82_independent_replication,high_emotional_speech,4,119912204868446
r82_seed823_high_emotional_speech_rep05,823,r82_independent_replication,high_emotional_speech,5,244723278783006
r82_seed823_low_information_speech_rep01,823,r82_independent_replication,low_information_speech,1,135486037773397
r82_seed823_low_information_speech_rep02,823,r82_independent_replication,low_information_speech,2,221518268895361
r82_seed823_low_information_speech_rep03,823,r82_independent_replication,low_information_speech,3,97755819763311
r82_seed823_low_information_speech_rep04,823,r82_independent_replication,low_information_speech,4,241493731826413
r82_seed823_low_information_speech_rep05,823,r82_independent_replication,low_information_speech,5,212366526341479
r82_seed823_mixed_strategies_rep01,823,r82_independent_replication,mixed_strategies,1,98174829991557
r82_seed823_mixed_strategies_rep02,823,r82_independent_replication,mixed_strategies,2,42561570789685
r82_seed823_mixed_strategies_rep03,823,r82_independent_replication,mixed_strategies,3,10913138422720
r82_seed823_mixed_strategies_rep04,823,r82_independent_replication,mixed_strategies,4,238627766136653
r82_seed823_mixed_strategies_rep05,823,r82_independent_replication,mixed_strategies,5,168724965600608
r82_seed824_baseline_rep01,824,r82_independent_replication,baseline,1,32645214943018
r82_seed824_baseline_rep02,824,r82_independent_replication,baseline,2,269256379852884
r82_seed824_baseline_rep03,824,r82_independent_replication,baseline,3,30700101105293
r82_seed824_baseline_rep04,824,r82_independent_replication,baseline,4,67347762598548
r82_seed824_baseline_rep05,824,r82_independent_replication,baseline,5,55657143262545
r82_seed824_speech_enabled_rep01,824,r82_independent_replication,speech_enabled,1,232509886354117
r82_seed824_speech_enabled_rep02,824,r82_independent_replication,speech_enabled,2,278126821862239
r82_seed824_speech_enabled_rep03,824,r82_independent_replication,speech_enabled,3,169498477366645
r82_seed824_speech_enabled_rep04,824,r82_independent_replication,speech_enabled,4,164012613005945
r82_seed824_speech_enabled_rep05,824,r82_independent_replication,speech_enabled,5,49526497382555
r82_seed824_herding_enabled_rep01,824,r82_independent_replication,herding_enabled,1,266901475444857
r82_seed824_herding_enabled_rep02,824,r82_independent_replication,herding_enabled,2,138401897725967
r82_seed824_herding_enabled_rep03,824,r82_independent_replication,herding_enabled,3,231252625258583
r82_seed824_herding_enabled_rep04,824,r82_independent_replication,herding_enabled,4,69656420378139
r82_seed824_herding_enabled_rep05,824,r82_independent_replication,herding_enabled,5,280187468186554
r82_seed824_deception_enabled_rep01,824,r82_independent_replication,deception_enabled,1,109587653122296
r82_seed824_deception_enabled_rep02,824,r82_independent_replication,deception_enabled,2,36741678676830
r82_seed824_deception_enabled_rep03,824,r82_independent_replication,deception_enabled,3,87252892289158
r82_seed824_deception_enabled_rep04,824,r82_independent_replication,deception_enabled,4,155556305284566
r82_seed824_deception_enabled_rep05,824,r82_independent_replication,deception_enabled,5,195145931972381
r82_seed824_heterogeneous_risk_rep01,824,r82_independent_replication,heterogeneous_risk,1,73138263947405
r82_seed824_heterogeneous_risk_rep02,824,r82_independent_replication,heterogeneous_risk,2,42592354365187
r82_seed824_heterogeneous_risk_rep03,824,r82_independent_replication,heterogeneous_risk,3,57670514401394
r82_seed824_heterogeneous_risk_rep04,824,r82_independent_replication,heterogeneous_risk,4,186599934442855
r82_seed824_heterogeneous_risk_rep05,824,r82_independent_replication,heterogeneous_risk,5,271053592022809
r82_seed824_strong_village_information_rep01,824,r82_independent_replication,strong_village_information,1,130997659241067
r82_seed824_strong_village_information_rep02,824,r82_independent_replication,strong_village_information,2,65708908943389
r82_seed824_strong_village_information_rep03,824,r82_independent_replication,strong_village_information,3,145274552180548
r82_seed824_strong_village_information_rep04,824,r82_independent_replication,strong_village_information,4,237732800111478
r82_seed824_strong_village_information_rep05,824,r82_independent_replication,strong_village_information,5,156171572611378
r82_seed824_weak_village_information_rep01,824,r82_independent_replication,weak_village_information,1,130106973911636
r82_seed824_weak_village_information_rep02,824,r82_independent_replication,weak_village_information,2,169056846530545
r82_seed824_weak_village_information_rep03,824,r82_independent_replication,weak_village_information,3,36394792999946
r82_seed824_weak_village_information_rep04,824,r82_independent_replication,weak_village_information,4,76950401191579
r82_seed824_weak_village_information_rep05,824,r82_independent_replication,weak_village_information,5,177476954457481
r82_seed824_high_emotional_speech_rep01,824,r82_independent_replication,high_emotional_speech,1,222761336697400
r82_seed824_high_emotional_speech_rep02,824,r82_independent_replication,high_emotional_speech,2,254645079884230
r82_seed824_high_emotional_speech_rep03,824,r82_independent_replication,high_emotional_speech,3,208599239954020
r82_seed824_high_emotional_speech_rep04,824,r82_independent_replication,high_emotional_speech,4,241168871999468
r82_seed824_high_emotional_speech_rep05,824,r82_independent_replication,high_emotional_speech,5,83913306179238
r82_seed824_low_information_speech_rep01,824,r82_independent_replication,low_information_speech,1,17175573423297
r82_seed824_low_information_speech_rep02,824,r82_independent_replication,low_information_speech,2,159579753529639
r82_seed824_low_information_speech_rep03,824,r82_independent_replication,low_information_speech,3,155907403978783
r82_seed824_low_information_speech_rep04,824,r82_independent_replication,low_information_speech,4,59203602538712
r82_seed824_low_information_speech_rep05,824,r82_independent_replication,low_information_speech,5,26698728843845
r82_seed824_mixed_strategies_rep01,824,r82_independent_replication,mixed_strategies,1,7723079770165
r82_seed824_mixed_strategies_rep02,824,r82_independent_replication,mixed_strategies,2,84528253565104
r82_seed824_mixed_strategies_rep03,824,r82_independent_replication,mixed_strategies,3,205881826446627
r82_seed824_mixed_strategies_rep04,824,r82_independent_replication,mixed_strategies,4,256085611923818
r82_seed824_mixed_strategies_rep05,824,r82_independent_replication,mixed_strategies,5,166060581920149
r82_seed825_baseline_rep01,825,r82_independent_replication,baseline,1,152565362891717
r82_seed825_baseline_rep02,825,r82_independent_replication,baseline,2,110674929858915
r82_seed825_baseline_rep03,825,r82_independent_replication,baseline,3,13562480785139
r82_seed825_baseline_rep04,825,r82_independent_replication,baseline,4,206204824207089
r82_seed825_baseline_rep05,825,r82_independent_replication,baseline,5,35075746651449
r82_seed825_speech_enabled_rep01,825,r82_independent_replication,speech_enabled,1,58059307329610
r82_seed825_speech_enabled_rep02,825,r82_independent_replication,speech_enabled,2,62669082393878
r82_seed825_speech_enabled_rep03,825,r82_independent_replication,speech_enabled,3,31963105318556
r82_seed825_speech_enabled_rep04,825,r82_independent_replication,speech_enabled,4,262799501777893
r82_seed825_speech_enabled_rep05,825,r82_independent_replication,speech_enabled,5,49825107142378
r82_seed825_herding_enabled_rep01,825,r82_independent_replication,herding_enabled,1,187357101521625
r82_seed825_herding_enabled_rep02,825,r82_independent_replication,herding_enabled,2,16174539063019
r82_seed825_herding_enabled_rep03,825,r82_independent_replication,herding_enabled,3,221753130205973
r82_seed825_herding_enabled_rep04,825,r82_independent_replication,herding_enabled,4,279163706448523
r82_seed825_herding_enabled_rep05,825,r82_independent_replication,herding_enabled,5,49237089994555
r82_seed825_deception_enabled_rep01,825,r82_independent_replication,deception_enabled,1,238812039087431
r82_seed825_deception_enabled_rep02,825,r82_independent_replication,deception_enabled,2,35898382799625
r82_seed825_deception_enabled_rep03,825,r82_independent_replication,deception_enabled,3,42458602867012
r82_seed825_deception_enabled_rep04,825,r82_independent_replication,deception_enabled,4,156129332753775
r82_seed825_deception_enabled_rep05,825,r82_independent_replication,deception_enabled,5,33695632997380
r82_seed825_heterogeneous_risk_rep01,825,r82_independent_replication,heterogeneous_risk,1,180852937268210
r82_seed825_heterogeneous_risk_rep02,825,r82_independent_replication,heterogeneous_risk,2,281178332947774
r82_seed825_heterogeneous_risk_rep03,825,r82_independent_replication,heterogeneous_risk,3,201563948927306
r82_seed825_heterogeneous_risk_rep04,825,r82_independent_replication,heterogeneous_risk,4,4465228924551
r82_seed825_heterogeneous_risk_rep05,825,r82_independent_replication,heterogeneous_risk,5,15583652551942
r82_seed825_strong_village_information_rep01,825,r82_independent_replication,strong_village_information,1,130987159443891
r82_seed825_strong_village_information_rep02,825,r82_independent_replication,strong_village_information,2,215782565509633
r82_seed825_strong_village_information_rep03,825,r82_independent_replication,strong_village_information,3,53634780662529
r82_seed825_strong_village_information_rep04,825,r82_independent_replication,strong_village_information,4,161075340509321
r82_seed825_strong_village_information_rep05,825,r82_independent_replication,strong_village_information,5,256037505318667
r82_seed825_weak_village_information_rep01,825,r82_independent_replication,weak_village_information,1,130286755721457
r82_seed825_weak_village_information_rep02,825,r82_independent_replication,weak_village_information,2,915751810510
r82_seed825_weak_village_information_rep03,825,r82_independent_replication,weak_village_information,3,31444898776239
r82_seed825_weak_village_information_rep04,825,r82_independent_replication,weak_village_information,4,52712378600520
r82_seed825_weak_village_information_rep05,825,r82_independent_replication,weak_village_information,5,244380281674692
r82_seed825_high_emotional_speech_rep01,825,r82_independent_replication,high_emotional_speech,1,269649294638515
r82_seed825_high_emotional_speech_rep02,825,r82_independent_replication,high_emotional_speech,2,31160820350936
r82_seed825_high_emotional_speech_rep03,825,r82_independent_replication,high_emotional_speech,3,112465928740451
r82_seed825_high_emotional_speech_rep04,825,r82_independent_replication,high_emotional_speech,4,249188438680275
r82_seed825_high_emotional_speech_rep05,825,r82_independent_replication,high_emotional_speech,5,145003673293131
r82_seed825_low_information_speech_rep01,825,r82_independent_replication,low_information_speech,1,81045108854784
r82_seed825_low_information_speech_rep02,825,r82_independent_replication,low_information_speech,2,134000920637711
r82_seed825_low_information_speech_rep03,825,r82_independent_replication,low_information_speech,3,254490055823494
r82_seed825_low_information_speech_rep04,825,r82_independent_replication,low_information_speech,4,114124409568667
r82_seed825_low_information_speech_rep05,825,r82_independent_replication,low_information_speech,5,228997754450521
r82_seed825_mixed_strategies_rep01,825,r82_independent_replication,mixed_strategies,1,205664232999117
r82_seed825_mixed_strategies_rep02,825,r82_independent_replication,mixed_strategies,2,84340367445764
r82_seed825_mixed_strategies_rep03,825,r82_independent_replication,mixed_strategies,3,236740272285820
r82_seed825_mixed_strategies_rep04,825,r82_independent_replication,mixed_strategies,4,113420499740662
r82_seed825_mixed_strategies_rep05,825,r82_independent_replication,mixed_strategies,5,185871645146148
r82_seed826_baseline_rep01,826,r82_independent_replication,baseline,1,51765953762698
r82_seed826_baseline_rep02,826,r82_independent_replication,baseline,2,75481677001292
r82_seed826_baseline_rep03,826,r82_independent_replication,baseline,3,267869141706329
r82_seed826_baseline_rep04,826,r82_independent_replication,baseline,4,59086498946410
r82_seed826_baseline_rep05,826,r82_independent_replication,baseline,5,111566134475620
r82_seed826_speech_enabled_rep01,826,r82_independent_replication,speech_enabled,1,21533701887767
r82_seed826_speech_enabled_rep02,826,r82_independent_replication,speech_enabled,2,195970389966359
r82_seed826_speech_enabled_rep03,826,r82_independent_replication,speech_enabled,3,170923178794297
r82_seed826_speech_enabled_rep04,826,r82_independent_replication,speech_enabled,4,207005991324016
r82_seed826_speech_enabled_rep05,826,r82_independent_replication,speech_enabled,5,221461329239688
r82_seed826_herding_enabled_rep01,826,r82_independent_replication,herding_enabled,1,4473509383553
r82_seed826_herding_enabled_rep02,826,r82_independent_replication,herding_enabled,2,110910021040408
r82_seed826_herding_enabled_rep03,826,r82_independent_replication,herding_enabled,3,149436381468383
