project_finding_id,project_chapter,project_finding,eligible_source_count,doi_verified_source_count,recent_source_count,foundational_source_count,source_ids,dois,literature_relationships,safe_final_wording,coverage_status,source_data
F21,hunter,Random shooting underperformed.,2,2,2,0,S066;S087,10.1016/j.cosrev.2017.03.001;10.1287/opre.2016.1539,consistent_with_literature,Uninformed high-impact actions can be dominated by more conservative rules.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F22,hunter,No-shot and conservative-threshold policies were harmful.,3,3,1,2,S058;S059;S083,10.1086/294846;10.1111/eufm.12231;10.3905/joi.3.3.59,partially_consistent,Avoiding downside can also forgo positive option value.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F23,hunter,Reference/highest-suspicion-equivalent behavior remained strongest tested.,2,2,2,0,S087;S088,10.1287/opre.2016.1539;10.1287/opre.2017.1716,no_direct_prior_comparison,No direct prior Hunter policy literature was identified.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F24,werewolf_strategy,Random killing was harmful relative to reference.,2,2,2,0,S007;S082,10.18653/v1/2023.findings-emnlp.748;10.3982/TE1808,consistent_with_literature,Strategic targeting matters in hidden-role games.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F25,werewolf_strategy,Deep-cover policy was harmful.,3,3,2,1,S002;S003;S030,10.1093/rfs/5.3.503;10.1609/aiide.v14i1.13015;10.1609/aiide.v15i1.5236,partially_consistent,Concealment is useful only when it does not sacrifice strategic pressure.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F26,werewolf_strategy,Threat-adaptive/reference strategy remained strongest tested.,2,2,2,0,S007;S072,10.1257/aer.20161079;10.18653/v1/2023.findings-emnlp.748,consistent_with_literature,Informed actors benefit from targeting high-value information sources.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F27,ml_policy,Continuous ML night-kill control underperformed.,2,2,2,0,S069;S070,10.1038/s41591-018-0310-5;10.1109/TNNLS.2023.3250269,consistent_with_literature,Offline policies can fail when rolled out repeatedly.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F28,ml_policy,Hybrid ML was harmful.,2,2,2,0,S069;S070,10.1038/s41591-018-0310-5;10.1109/TNNLS.2023.3250269,consistent_with_literature,Combining model and rule scores can be unsafe without live validation.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F29,werewolf_deception,Manipulation premium was descriptively large but badly imbalanced.,4,4,3,1,S030;S076;S080;S084,10.1016/j.jacceco.2020.101334;10.1080/1351847X.2024.2395927;10.1093/rfs/5.3.503;10.1609/icwsm.v12i1.15073,partially_consistent,"Manipulation can pay, but evidence quality depends on sample balance.",foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F30,werewolf_deception,Deception subtype effects differed substantially.,4,4,4,0,S002;S003;S005;S028,10.1609/aaai.v36i9.21172;10.1609/aiide.v14i1.13015;10.1609/aiide.v15i1.5236;10.18653/v1/2022.naacl-main.11,consistent_with_literature,"Deception effectiveness depends on type, credibility, and audience.",recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F31,financial_risk,Werewolves had the highest mean and risk-adjusted payoff.,3,3,1,2,S030;S058;S074,10.1086/294846;10.1093/rfs/5.3.503;10.1214/16-AOS1439,methodological_parallel,High return can accompany high strategic risk in a payoff analogue.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F32,financial_risk,Hunter had the worst tail risk.,3,3,2,1,S060;S087;S088,10.1287/opre.2016.1539;10.1287/opre.2017.1716;10.21314/JOR.2000.038,consistent_with_literature,Tail-risk metrics reveal harms hidden by means.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F33,financial_risk,Highest expected payoff also had highest risk-adjusted payoff in current design.,3,3,2,1,S058;S074;S088,10.1086/294846;10.1214/16-AOS1439;10.1287/opre.2017.1716,methodological_parallel,Efficient-frontier analogies compare return against volatility and downside risk.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F34,financial_risk,Some low-volatility roles still had negative expected payoff.,2,2,1,1,S058;S087,10.1086/294846;10.1287/opre.2016.1539,consistent_with_literature,Risk metrics must be interpreted with expected payoff.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F35,financial_risk,Risk-return conclusions depended partly on payoff specification.,3,3,3,0,S074;S087;S088,10.1214/16-AOS1439;10.1287/opre.2016.1539;10.1287/opre.2017.1716,consistent_with_literature,Metric definitions and coefficients affect rankings.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F36,financial_risk,Opportunity cost clarified conservative-strategy weaknesses.,2,2,1,1,S058;S072,10.1086/294846;10.1257/aer.20161079,methodological_parallel,Opportunity cost links inaction to forgone return.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F37,engine_validity,Seat-label artifacts disappeared under neutral mode.,2,2,2,0,S066;S067,10.1016/j.cosrev.2017.03.001;10.18564/jasss.4259,consistent_with_literature,Simulation validation should isolate artifacts.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F38,engine_validity,Physical-direction replay achieved exact symmetry.,2,2,2,0,S066;S067,10.1016/j.cosrev.2017.03.001;10.18564/jasss.4259,consistent_with_literature,Replay and counterfactual validation increase engine credibility.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F39,ml_validation,Grouped ML validation corrected optimistic pilot performance.,3,3,3,0,S065;S068;S069,10.1038/s42256-020-00257-z;10.1109/TNNLS.2023.3250269;10.1145/3439726,consistent_with_literature,Grouped validation controls overfitting and dataset leakage.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F40,ml_validation,Shadow or surrogate benefits failed to generalize to live policy.,2,2,2,0,S069;S070,10.1038/s41591-018-0310-5;10.1109/TNNLS.2023.3250269,consistent_with_literature,Offline-to-online gaps require live validation.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F41,method_validity,Strategy ownership had to be separated from cross-role externalities.,3,3,3,0,S066;S067;S074,10.1016/j.cosrev.2017.03.001;10.1214/16-AOS1439;10.18564/jasss.4259,methodological_parallel,Attribution units and independent samples must match claims.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
