finding_id,project_chapter,project_finding,project_source,literature_source_id,source_year,doi,doi_verified,recent_source,foundational_source,relationship,final_citation_eligible,coverage_status,safe_final_wording
F07,bow_r3,Live BoW integration reduced village outcomes.,R3 guarded BoW live policies underperformed reference conditions.,S069,2024,10.1109/TNNLS.2023.3250269,True,True,False,consistent_with_literature,True,recent_direct_coverage,Prediction quality need not translate into policy value.
F07,bow_r3,Live BoW integration reduced village outcomes.,R3 guarded BoW live policies underperformed reference conditions.,S070,2019,10.1038/s41591-018-0310-5,True,True,False,consistent_with_literature,True,recent_direct_coverage,Prediction quality need not translate into policy value.
F08,ml_policy,Prediction quality did not imply policy value.,ML shadow improvements did not survive matched live validation.,S069,2024,10.1109/TNNLS.2023.3250269,True,True,False,consistent_with_literature,True,recent_direct_coverage,Offline or surrogate evaluation can fail under live distribution shift.
F08,ml_policy,Prediction quality did not imply policy value.,ML shadow improvements did not survive matched live validation.,S070,2019,10.1038/s41591-018-0310-5,True,True,False,consistent_with_literature,True,recent_direct_coverage,Offline or surrogate evaluation can fail under live distribution shift.
F09,seer_information,Early wolf discovery was associated with village success.,Structured search diagnostics found positive information-discovery indicators.,S071,2019,10.1146/annurev-economics-080218-025739,True,True,False,consistent_with_literature,True,recent_direct_coverage,Private information can have strategic value.
F09,seer_information,Early wolf discovery was associated with village success.,Structured search diagnostics found positive information-discovery indicators.,S072,2018,10.1257/aer.20161079,True,True,False,consistent_with_literature,True,recent_direct_coverage,Private information can have strategic value.
F10,seer_search,Highest-suspicion and highest-p_wolf checking were not supported.,Both were harmful versus random in structured seer search.,S082,2016,10.3982/TE1808,True,True,False,extends_literature,True,recent_direct_coverage,Local risk scores can be post-treatment or misleading if not calibrated.
F10,seer_search,Highest-suspicion and highest-p_wolf checking were not supported.,Both were harmful versus random in structured seer search.,S065,2020,10.1038/s42256-020-00257-z,True,True,False,extends_literature,True,recent_direct_coverage,Local risk scores can be post-treatment or misleading if not calibrated.
F11,position_theory,Position folklore was not supported after randomization.,Edge seats were not wolf-heavy and edge-first did not beat random.,S066,2017,10.1016/j.cosrev.2017.03.001,True,True,False,methodological_parallel,True,recent_direct_coverage,Randomized assignment and validation can falsify intuitive artifacts.
F11,position_theory,Position folklore was not supported after randomization.,Edge seats were not wolf-heavy and edge-first did not beat random.,S067,2020,10.18564/jasss.4259,True,True,False,methodological_parallel,True,recent_direct_coverage,Randomized assignment and validation can falsify intuitive artifacts.
F12,seer_reveal,Immediate reveal was promising but uncertain.,R6.1 immediate_reveal had best Seer mean payoff but pilot caveats remain.,S071,2019,10.1146/annurev-economics-080218-025739,True,True,False,partially_consistent,True,recent_direct_coverage,Information revelation has benefits and strategic costs.
F12,seer_reveal,Immediate reveal was promising but uncertain.,R6.1 immediate_reveal had best Seer mean payoff but pilot caveats remain.,S081,2019,10.1257/jel.20181489,True,True,False,partially_consistent,True,recent_direct_coverage,Information revelation has benefits and strategic costs.
F13,seer_reveal,Reveal generated high short-term mortality hazard.,R6.2 corrected Seer survival with post-reveal hazard metrics.,S071,2019,10.1146/annurev-economics-080218-025739,True,True,False,extends_literature,True,foundational_plus_recent,Public signalers can become strategic targets.
F13,seer_reveal,Reveal generated high short-term mortality hazard.,R6.2 corrected Seer survival with post-reveal hazard metrics.,S030,1992,10.1093/rfs/5.3.503,True,False,True,extends_literature,True,foundational_plus_recent,Public signalers can become strategic targets.
F14,risk_metrics,Information premium was positive but partly outcome-dependent.,R5 information premium was positive but sensitive to outcome conditioning.,S072,2018,10.1257/aer.20161079,True,True,False,partially_consistent,True,recent_direct_coverage,Information value should be separated from outcome dependence.
F14,risk_metrics,Information premium was positive but partly outcome-dependent.,R5 information premium was positive but sensitive to outcome conditioning.,S074,2016,10.1214/16-AOS1439,True,True,False,partially_consistent,True,recent_direct_coverage,Information value should be separated from outcome dependence.
F15,witch,Aggressive intervention had a possible return advantage.,R6.1 Witch aggressive_full had best mean actor payoff.,S070,2019,10.1038/s41591-018-0310-5,True,True,False,methodological_parallel,True,recent_direct_coverage,High-impact interventions can raise expected value but require risk controls.
F15,witch,Aggressive intervention had a possible return advantage.,R6.1 Witch aggressive_full had best mean actor payoff.,S087,2016,10.1287/opre.2016.1539,True,True,False,methodological_parallel,True,recent_direct_coverage,High-impact interventions can raise expected value but require risk controls.
F16,witch,Aggressive intervention increased wrong-poison risk.,R6.2 lifecycle metrics separate wrong poison from true waste.,S074,2016,10.1214/16-AOS1439,True,True,False,consistent_with_literature,True,recent_direct_coverage,Downside/tail metrics clarify intervention harm.
F16,witch,Aggressive intervention increased wrong-poison risk.,R6.2 lifecycle metrics separate wrong poison from true waste.,S087,2016,10.1287/opre.2016.1539,True,True,False,consistent_with_literature,True,recent_direct_coverage,Downside/tail metrics clarify intervention harm.
F16,witch,Aggressive intervention increased wrong-poison risk.,R6.2 lifecycle metrics separate wrong poison from true waste.,S088,2018,10.1287/opre.2017.1716,True,True,False,consistent_with_literature,True,recent_direct_coverage,Downside/tail metrics clarify intervention harm.
F17,witch,Extreme conservatism produced high unused-resource cost.,R6.2 measured unused potion and missed opportunities.,S058,1966,10.1086/294846,True,False,True,extends_literature,True,foundational_plus_recent,Opportunity-cost framing explains excessive inaction.
F17,witch,Extreme conservatism produced high unused-resource cost.,R6.2 measured unused potion and missed opportunities.,S088,2018,10.1287/opre.2017.1716,True,True,False,extends_literature,True,foundational_plus_recent,Opportunity-cost framing explains excessive inaction.
F18,witch,Conservative-full policy was harmful.,R6/R6.1 rejected conservative-full-style Witch policy.,S083,2019,10.1111/eufm.12231,True,True,False,partially_consistent,True,recent_direct_coverage,Risk aversion can be harmful when resources expire unused.
F18,witch,Conservative-full policy was harmful.,R6/R6.1 rejected conservative-full-style Witch policy.,S087,2016,10.1287/opre.2016.1539,True,True,False,partially_consistent,True,recent_direct_coverage,Risk aversion can be harmful when resources expire unused.
F19,witch,Risk-balanced policies reduced direct waste but did not prove superior.,R6.2 distinguishes waste categories from win-rate superiority.,S074,2016,10.1214/16-AOS1439,True,True,False,consistent_with_literature,True,recent_direct_coverage,Lower risk is not automatically higher payoff.
F19,witch,Risk-balanced policies reduced direct waste but did not prove superior.,R6.2 distinguishes waste categories from win-rate superiority.,S088,2018,10.1287/opre.2017.1716,True,True,False,consistent_with_literature,True,recent_direct_coverage,Lower risk is not automatically higher payoff.
F20,hunter,Hunter had severe downside and CVaR-like risk.,R5/R6.1 show Hunter tail risk and uncertain policy improvement.,S060,2000,10.21314/JOR.2000.038,True,False,True,consistent_with_literature,True,foundational_plus_recent,Irreversible high-impact actions concentrate downside risk.
F20,hunter,Hunter had severe downside and CVaR-like risk.,R5/R6.1 show Hunter tail risk and uncertain policy improvement.,S087,2016,10.1287/opre.2016.1539,True,True,False,consistent_with_literature,True,foundational_plus_recent,Irreversible high-impact actions concentrate downside risk.
F20,hunter,Hunter had severe downside and CVaR-like risk.,R5/R6.1 show Hunter tail risk and uncertain policy improvement.,S088,2018,10.1287/opre.2017.1716,True,True,False,consistent_with_literature,True,foundational_plus_recent,Irreversible high-impact actions concentrate downside risk.
F21,hunter,Random shooting underperformed.,R6.1 Hunter random shot did not beat reference.,S066,2017,10.1016/j.cosrev.2017.03.001,True,True,False,consistent_with_literature,True,recent_direct_coverage,Uninformed high-impact actions can be dominated by more conservative rules.
F21,hunter,Random shooting underperformed.,R6.1 Hunter random shot did not beat reference.,S087,2016,10.1287/opre.2016.1539,True,True,False,consistent_with_literature,True,recent_direct_coverage,Uninformed high-impact actions can be dominated by more conservative rules.
F22,hunter,No-shot and conservative-threshold policies were harmful.,R6.1 found no-shot/conservative policies weak or harmful.,S058,1966,10.1086/294846,True,False,True,partially_consistent,True,foundational_plus_recent,Avoiding downside can also forgo positive option value.
F22,hunter,No-shot and conservative-threshold policies were harmful.,R6.1 found no-shot/conservative policies weak or harmful.,S059,1994,10.3905/joi.3.3.59,True,False,True,partially_consistent,True,foundational_plus_recent,Avoiding downside can also forgo positive option value.
F22,hunter,No-shot and conservative-threshold policies were harmful.,R6.1 found no-shot/conservative policies weak or harmful.,S083,2019,10.1111/eufm.12231,True,True,False,partially_consistent,True,foundational_plus_recent,Avoiding downside can also forgo positive option value.
F23,hunter,Reference/highest-suspicion-equivalent behavior remained strongest tested.,R6.1 Hunter reference had best mean payoff.,S087,2016,10.1287/opre.2016.1539,True,True,False,no_direct_prior_comparison,True,recent_direct_coverage,No direct prior Hunter policy literature was identified.
F23,hunter,Reference/highest-suspicion-equivalent behavior remained strongest tested.,R6.1 Hunter reference had best mean payoff.,S088,2018,10.1287/opre.2017.1716,True,True,False,no_direct_prior_comparison,True,recent_direct_coverage,No direct prior Hunter policy literature was identified.
F24,werewolf_strategy,Random killing was harmful relative to reference.,R5.1/R6 found random wolf kills harmful.,S007,2023,10.18653/v1/2023.findings-emnlp.748,True,True,False,consistent_with_literature,True,recent_direct_coverage,Strategic targeting matters in hidden-role games.
F24,werewolf_strategy,Random killing was harmful relative to reference.,R5.1/R6 found random wolf kills harmful.,S082,2016,10.3982/TE1808,True,True,False,consistent_with_literature,True,recent_direct_coverage,Strategic targeting matters in hidden-role games.
F25,werewolf_strategy,Deep-cover policy was harmful.,R6.1 deep-cover wolf preset underperformed reference.,S002,2018,10.1609/aiide.v14i1.13015,True,True,False,partially_consistent,True,foundational_plus_recent,Concealment is useful only when it does not sacrifice strategic pressure.
F25,werewolf_strategy,Deep-cover policy was harmful.,R6.1 deep-cover wolf preset underperformed reference.,S003,2019,10.1609/aiide.v15i1.5236,True,True,False,partially_consistent,True,foundational_plus_recent,Concealment is useful only when it does not sacrifice strategic pressure.
F25,werewolf_strategy,Deep-cover policy was harmful.,R6.1 deep-cover wolf preset underperformed reference.,S030,1992,10.1093/rfs/5.3.503,True,False,True,partially_consistent,True,foundational_plus_recent,Concealment is useful only when it does not sacrifice strategic pressure.
F26,werewolf_strategy,Threat-adaptive/reference strategy remained strongest tested.,R6.1 Werewolf reference had best mean actor payoff.,S007,2023,10.18653/v1/2023.findings-emnlp.748,True,True,False,consistent_with_literature,True,recent_direct_coverage,Informed actors benefit from targeting high-value information sources.
F26,werewolf_strategy,Threat-adaptive/reference strategy remained strongest tested.,R6.1 Werewolf reference had best mean actor payoff.,S072,2018,10.1257/aer.20161079,True,True,False,consistent_with_literature,True,recent_direct_coverage,Informed actors benefit from targeting high-value information sources.
F27,ml_policy,Continuous ML night-kill control underperformed.,Stage 2A/2B live ML policies underperformed existing rule.,S069,2024,10.1109/TNNLS.2023.3250269,True,True,False,consistent_with_literature,True,recent_direct_coverage,Offline policies can fail when rolled out repeatedly.
F27,ml_policy,Continuous ML night-kill control underperformed.,Stage 2A/2B live ML policies underperformed existing rule.,S070,2019,10.1038/s41591-018-0310-5,True,True,False,consistent_with_literature,True,recent_direct_coverage,Offline policies can fail when rolled out repeatedly.
F28,ml_policy,Hybrid ML was harmful.,Stage 2A hybrid was statistically harmful after Holm correction.,S069,2024,10.1109/TNNLS.2023.3250269,True,True,False,consistent_with_literature,True,recent_direct_coverage,Combining model and rule scores can be unsafe without live validation.
F28,ml_policy,Hybrid ML was harmful.,Stage 2A hybrid was statistically harmful after Holm correction.,S070,2019,10.1038/s41591-018-0310-5,True,True,False,consistent_with_literature,True,recent_direct_coverage,Combining model and rule scores can be unsafe without live validation.
F29,werewolf_deception,Manipulation premium was descriptively large but badly imbalanced.,R5/R5.1 manipulation premium positive but sample-imbalanced.,S030,1992,10.1093/rfs/5.3.503,True,False,True,partially_consistent,True,foundational_plus_recent,"Manipulation can pay, but evidence quality depends on sample balance."
F29,werewolf_deception,Manipulation premium was descriptively large but badly imbalanced.,R5/R5.1 manipulation premium positive but sample-imbalanced.,S076,2018,10.1609/icwsm.v12i1.15073,True,True,False,partially_consistent,True,foundational_plus_recent,"Manipulation can pay, but evidence quality depends on sample balance."
F29,werewolf_deception,Manipulation premium was descriptively large but badly imbalanced.,R5/R5.1 manipulation premium positive but sample-imbalanced.,S080,2020,10.1016/j.jacceco.2020.101334,True,True,False,partially_consistent,True,foundational_plus_recent,"Manipulation can pay, but evidence quality depends on sample balance."
F29,werewolf_deception,Manipulation premium was descriptively large but badly imbalanced.,R5/R5.1 manipulation premium positive but sample-imbalanced.,S084,2025,10.1080/1351847X.2024.2395927,True,True,False,partially_consistent,True,foundational_plus_recent,"Manipulation can pay, but evidence quality depends on sample balance."
F30,werewolf_deception,Deception subtype effects differed substantially.,"False accusation, deflection, role claim, and adaptive policy differed sharply.",S002,2018,10.1609/aiide.v14i1.13015,True,True,False,consistent_with_literature,True,recent_direct_coverage,"Deception effectiveness depends on type, credibility, and audience."
F30,werewolf_deception,Deception subtype effects differed substantially.,"False accusation, deflection, role claim, and adaptive policy differed sharply.",S003,2019,10.1609/aiide.v15i1.5236,True,True,False,consistent_with_literature,True,recent_direct_coverage,"Deception effectiveness depends on type, credibility, and audience."
F30,werewolf_deception,Deception subtype effects differed substantially.,"False accusation, deflection, role claim, and adaptive policy differed sharply.",S005,2022,10.18653/v1/2022.naacl-main.11,True,True,False,consistent_with_literature,True,recent_direct_coverage,"Deception effectiveness depends on type, credibility, and audience."
F30,werewolf_deception,Deception subtype effects differed substantially.,"False accusation, deflection, role claim, and adaptive policy differed sharply.",S028,2022,10.1609/aaai.v36i9.21172,True,True,False,consistent_with_literature,True,recent_direct_coverage,"Deception effectiveness depends on type, credibility, and audience."
F31,financial_risk,Werewolves had the highest mean and risk-adjusted payoff.,R5 role-level risk metrics favored Werewolf.,S030,1992,10.1093/rfs/5.3.503,True,False,True,methodological_parallel,True,foundational_plus_recent,High return can accompany high strategic risk in a payoff analogue.
F31,financial_risk,Werewolves had the highest mean and risk-adjusted payoff.,R5 role-level risk metrics favored Werewolf.,S058,1966,10.1086/294846,True,False,True,methodological_parallel,True,foundational_plus_recent,High return can accompany high strategic risk in a payoff analogue.
F31,financial_risk,Werewolves had the highest mean and risk-adjusted payoff.,R5 role-level risk metrics favored Werewolf.,S074,2016,10.1214/16-AOS1439,True,True,False,methodological_parallel,True,foundational_plus_recent,High return can accompany high strategic risk in a payoff analogue.
F32,financial_risk,Hunter had the worst tail risk.,R5 CVaR-like metrics identified Hunter tail exposure.,S060,2000,10.21314/JOR.2000.038,True,False,True,consistent_with_literature,True,foundational_plus_recent,Tail-risk metrics reveal harms hidden by means.
F32,financial_risk,Hunter had the worst tail risk.,R5 CVaR-like metrics identified Hunter tail exposure.,S087,2016,10.1287/opre.2016.1539,True,True,False,consistent_with_literature,True,foundational_plus_recent,Tail-risk metrics reveal harms hidden by means.
F32,financial_risk,Hunter had the worst tail risk.,R5 CVaR-like metrics identified Hunter tail exposure.,S088,2018,10.1287/opre.2017.1716,True,True,False,consistent_with_literature,True,foundational_plus_recent,Tail-risk metrics reveal harms hidden by means.
F33,financial_risk,Highest expected payoff also had highest risk-adjusted payoff in current design.,R5 found Werewolf high mean and high Sharpe/Sortino-like ratios.,S058,1966,10.1086/294846,True,False,True,methodological_parallel,True,foundational_plus_recent,Efficient-frontier analogies compare return against volatility and downside risk.
F33,financial_risk,Highest expected payoff also had highest risk-adjusted payoff in current design.,R5 found Werewolf high mean and high Sharpe/Sortino-like ratios.,S074,2016,10.1214/16-AOS1439,True,True,False,methodological_parallel,True,foundational_plus_recent,Efficient-frontier analogies compare return against volatility and downside risk.
F33,financial_risk,Highest expected payoff also had highest risk-adjusted payoff in current design.,R5 found Werewolf high mean and high Sharpe/Sortino-like ratios.,S088,2018,10.1287/opre.2017.1716,True,True,False,methodological_parallel,True,foundational_plus_recent,Efficient-frontier analogies compare return against volatility and downside risk.
F34,financial_risk,Some low-volatility roles still had negative expected payoff.,R5 shows volatility alone does not imply desirability.,S058,1966,10.1086/294846,True,False,True,consistent_with_literature,True,foundational_plus_recent,Risk metrics must be interpreted with expected payoff.
F34,financial_risk,Some low-volatility roles still had negative expected payoff.,R5 shows volatility alone does not imply desirability.,S087,2016,10.1287/opre.2016.1539,True,True,False,consistent_with_literature,True,foundational_plus_recent,Risk metrics must be interpreted with expected payoff.
F35,financial_risk,Risk-return conclusions depended partly on payoff specification.,R5 sensitivity produced some fragile ranks.,S074,2016,10.1214/16-AOS1439,True,True,False,consistent_with_literature,True,recent_direct_coverage,Metric definitions and coefficients affect rankings.
F35,financial_risk,Risk-return conclusions depended partly on payoff specification.,R5 sensitivity produced some fragile ranks.,S087,2016,10.1287/opre.2016.1539,True,True,False,consistent_with_literature,True,recent_direct_coverage,Metric definitions and coefficients affect rankings.
F35,financial_risk,Risk-return conclusions depended partly on payoff specification.,R5 sensitivity produced some fragile ranks.,S088,2018,10.1287/opre.2017.1716,True,True,False,consistent_with_literature,True,recent_direct_coverage,Metric definitions and coefficients affect rankings.
F36,financial_risk,Opportunity cost clarified conservative-strategy weaknesses.,R4/R5 opportunity-cost terms clarified unused resources.,S058,1966,10.1086/294846,True,False,True,methodological_parallel,True,foundational_plus_recent,Opportunity cost links inaction to forgone return.
F36,financial_risk,Opportunity cost clarified conservative-strategy weaknesses.,R4/R5 opportunity-cost terms clarified unused resources.,S072,2018,10.1257/aer.20161079,True,True,False,methodological_parallel,True,foundational_plus_recent,Opportunity cost links inaction to forgone return.
F37,engine_validity,Seat-label artifacts disappeared under neutral mode.,Seat-order-neutral rows matched across label transforms.,S066,2017,10.1016/j.cosrev.2017.03.001,True,True,False,consistent_with_literature,True,recent_direct_coverage,Simulation validation should isolate artifacts.
F37,engine_validity,Seat-label artifacts disappeared under neutral mode.,Seat-order-neutral rows matched across label transforms.,S067,2020,10.18564/jasss.4259,True,True,False,consistent_with_literature,True,recent_direct_coverage,Simulation validation should isolate artifacts.
F38,engine_validity,Physical-direction replay achieved exact symmetry.,Supplied-action replay and mirror validation had zero divergences.,S066,2017,10.1016/j.cosrev.2017.03.001,True,True,False,consistent_with_literature,True,recent_direct_coverage,Replay and counterfactual validation increase engine credibility.
F38,engine_validity,Physical-direction replay achieved exact symmetry.,Supplied-action replay and mirror validation had zero divergences.,S067,2020,10.18564/jasss.4259,True,True,False,consistent_with_literature,True,recent_direct_coverage,Replay and counterfactual validation increase engine credibility.
F39,ml_validation,Grouped ML validation corrected optimistic pilot performance.,Stage 1.5 reduced pilot AUC substantially.,S065,2020,10.1038/s42256-020-00257-z,True,True,False,consistent_with_literature,True,recent_direct_coverage,Grouped validation controls overfitting and dataset leakage.
F39,ml_validation,Grouped ML validation corrected optimistic pilot performance.,Stage 1.5 reduced pilot AUC substantially.,S068,2021,10.1145/3439726,True,True,False,consistent_with_literature,True,recent_direct_coverage,Grouped validation controls overfitting and dataset leakage.
F39,ml_validation,Grouped ML validation corrected optimistic pilot performance.,Stage 1.5 reduced pilot AUC substantially.,S069,2024,10.1109/TNNLS.2023.3250269,True,True,False,consistent_with_literature,True,recent_direct_coverage,Grouped validation controls overfitting and dataset leakage.
F40,ml_validation,Shadow or surrogate benefits failed to generalize to live policy.,Stage 2A/2B live tests overturned shadow gains.,S069,2024,10.1109/TNNLS.2023.3250269,True,True,False,consistent_with_literature,True,recent_direct_coverage,Offline-to-online gaps require live validation.
F40,ml_validation,Shadow or surrogate benefits failed to generalize to live policy.,Stage 2A/2B live tests overturned shadow gains.,S070,2019,10.1038/s41591-018-0310-5,True,True,False,consistent_with_literature,True,recent_direct_coverage,Offline-to-online gaps require live validation.
F41,method_validity,Strategy ownership had to be separated from cross-role externalities.,R5.1 corrected global strategy labels into actor-specific attribution.,S066,2017,10.1016/j.cosrev.2017.03.001,True,True,False,methodological_parallel,True,recent_direct_coverage,Attribution units and independent samples must match claims.
F41,method_validity,Strategy ownership had to be separated from cross-role externalities.,R5.1 corrected global strategy labels into actor-specific attribution.,S067,2020,10.18564/jasss.4259,True,True,False,methodological_parallel,True,recent_direct_coverage,Attribution units and independent samples must match claims.
F41,method_validity,Strategy ownership had to be separated from cross-role externalities.,R5.1 corrected global strategy labels into actor-specific attribution.,S074,2016,10.1214/16-AOS1439,True,True,False,methodological_parallel,True,recent_direct_coverage,Attribution units and independent samples must match claims.
