claim_id,claim_text,project_source,claim_type,final_supporting_source,citation_key,doi,publication_year,recent,foundational,recent_companion_present,support_strength,overclaim_risk,r71_revision,final_safe_wording
R7-C06,False accusation benefit is not causal market evidence.,stage3_experiment_report.md,causal claim,S076,cresci2018fake,10.1609/icwsm.v12i1.15073,2018,True,False,True,requires_qualification,high,Use descriptive wording.,False accusation showed game-specific descriptive effects under simulated rules.
R7-C06,False accusation benefit is not causal market evidence.,stage3_experiment_report.md,causal claim,S084,siganos2025fakenews,10.1080/1351847X.2024.2395927,2025,True,False,True,requires_qualification,high,Use descriptive wording.,False accusation showed game-specific descriptive effects under simulated rules.
R7-C07,BoW template failure should be preserved.,results/bow_speech_stage_r2/bow_template_generalization_metrics.csv,project empirical result,S065,geirhos2020shortcut,10.1038/s42256-020-00257-z,2020,True,False,True,fully_supported,low,No revision needed.,BoW template failure is a central negative result and should not be hidden.
R7-C07,BoW template failure should be preserved.,results/bow_speech_stage_r2/bow_template_generalization_metrics.csv,project empirical result,S068,minaee2021textclassification,10.1145/3439726,2021,True,False,True,fully_supported,low,No revision needed.,BoW template failure is a central negative result and should not be hidden.
R7-C08,Live-policy failure outranks predictive performance.,results/ml_optimization_stage2a/; results/ml_optimization_stage2b/,methodological claim,S069,prudencio2024offline,10.1109/TNNLS.2023.3250269,2024,True,False,True,fully_supported,low,No revision needed.,Matched live complete-game outcomes should outrank shadow predictive metrics for policy claims.
R7-C08,Live-policy failure outranks predictive performance.,results/ml_optimization_stage2a/; results/ml_optimization_stage2b/,methodological claim,S070,gottesman2019healthcare,10.1038/s41591-018-0310-5,2019,True,False,True,fully_supported,low,No revision needed.,Matched live complete-game outcomes should outrank shadow predictive metrics for policy claims.
R7-C09,Immediate Seer reveal is promising but uncertain.,results/targeted_strategy_stage_r61/r61_seer_research_report.md,project empirical result,S071,kamenica2019persuasion,10.1146/annurev-economics-080218-025739,2019,True,False,True,fully_supported,medium,Keep uncertainty.,Immediate reveal is promising but uncertain because exposure costs remain material.
R7-C09,Immediate Seer reveal is promising but uncertain.,results/targeted_strategy_stage_r61/r61_seer_research_report.md,project empirical result,S081,bergemann2019unified,10.1257/jel.20181489,2019,True,False,True,fully_supported,medium,Keep uncertainty.,Immediate reveal is promising but uncertain because exposure costs remain material.
R7-C10,Witch aggressive_full is not globally optimal.,results/targeted_strategy_stage_r61/r61_witch_research_report.md,project empirical result,S070,gottesman2019healthcare,10.1038/s41591-018-0310-5,2019,True,False,True,fully_supported,medium,Keep pilot scope.,"Aggressive_full is the best tested pilot policy, not a globally optimal Witch policy."
R7-C10,Witch aggressive_full is not globally optimal.,results/targeted_strategy_stage_r61/r61_witch_research_report.md,project empirical result,S087,kou2016tailrisk,10.1287/opre.2016.1539,2016,True,False,True,fully_supported,medium,Keep pilot scope.,"Aggressive_full is the best tested pilot policy, not a globally optimal Witch policy."
R7-C11,Hunter reference conclusion is preserved.,results/targeted_strategy_stage_r61/r61_hunter_research_report.md,project empirical result,S087,kou2016tailrisk,10.1287/opre.2016.1539,2016,True,False,True,fully_supported,low,No revision needed.,Hunter reference remains the strongest tested policy under current evidence.
R7-C11,Hunter reference conclusion is preserved.,results/targeted_strategy_stage_r61/r61_hunter_research_report.md,project empirical result,S088,embrechts2018rvar,10.1287/opre.2017.1716,2018,True,False,True,fully_supported,low,No revision needed.,Hunter reference remains the strongest tested policy under current evidence.
R7-C12,Random wolf kill and deep-cover harm are preserved.,results/targeted_strategy_stage_r61/r61_wolf_research_report.md,project empirical result,S002,eger2018story,10.1609/aiide.v14i1.13015,2018,True,False,True,fully_supported,low,No revision needed.,Random kill and deep-cover policy harm should remain in final evidence tables.
R7-C12,Random wolf kill and deep-cover harm are preserved.,results/targeted_strategy_stage_r61/r61_wolf_research_report.md,project empirical result,S007,stepputtis2023avalon,10.18653/v1/2023.findings-emnlp.748,2023,True,False,True,fully_supported,low,No revision needed.,Random kill and deep-cover policy harm should remain in final evidence tables.
R7-C12,Random wolf kill and deep-cover harm are preserved.,results/targeted_strategy_stage_r61/r61_wolf_research_report.md,project empirical result,S030,allen1992manipulation,10.1093/rfs/5.3.503,1992,False,True,True,fully_supported,low,No revision needed.,Random kill and deep-cover policy harm should remain in final evidence tables.
R7-C13,No global optimality is claimed.,results/role_strategy_synthesis_stage_r6/r6_research_report.md,methodological claim,S066,abar2017abms,10.1016/j.cosrev.2017.03.001,2017,True,False,True,fully_supported,low,No revision needed.,R7 does not claim global optimality for any strategy.
R7-C13,No global optimality is claimed.,results/role_strategy_synthesis_stage_r6/r6_research_report.md,methodological claim,S067,grimm2020odd,10.18564/jasss.4259,2020,True,False,True,fully_supported,low,No revision needed.,R7 does not claim global optimality for any strategy.
R7-C14,Mesa is not used in this implementation.,repository file inventory,methodological claim,S066,abar2017abms,10.1016/j.cosrev.2017.03.001,2017,True,False,True,project_only,low,State as implementation scope.,The simulator is custom Python rather than Mesa-based.
R7-C14,Mesa is not used in this implementation.,repository file inventory,methodological claim,S067,grimm2020odd,10.18564/jasss.4259,2020,True,False,True,project_only,low,State as implementation scope.,The simulator is custom Python rather than Mesa-based.
