source_id,citation_key,year,within_2016_2026,literature_domain,role_in_argument,foundational_candidate,recent_replacement_available,recent_companion_available,keep_or_replace,justification
S015,banerjee1992herd,1992,False,herding_trust,Social observation can make agents ignore private signals and amplify errors.,True,False,True,keep_foundational_exception,Recent social-learning and finance-herding papers extend but do not replace the original model.
S016,bikhchandani1992cascades,1992,False,herding_trust,Aggregation can produce fragile cascades when public behavior outweighs private information.,True,False,True,keep_foundational_exception,Recent social-learning studies are companions rather than replacements for the original cascade theory.
S017,asch1955pressure,1955,False,herding_trust,Group pressure can change individual judgments even when private evidence exists.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S018,surowiecki2004wisdom,2004,False,herding_trust,Collective decisions work best when independent information is not collapsed into conformity.,False,True,True,replace_no_doi_source,Replaced by S079.
S019,josang2007trust,2007,False,herding_trust,Speaker-specific trust memory is analogous to reputation scores used for later decisions.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S020,resnick2002trust,2002,False,herding_trust,Trust records can support transactions among parties with asymmetric information.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S021,dellarocas2005reputation,2005,False,herding_trust,Credibility costs and reputation mechanisms can discipline strategic misbehavior.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S022,vosoughi2018false,2018,True,deception_misinformation,"False information can diffuse differently from true information, motivating credibility controls.",False,False,False,keep_recent_final_source,Recent DOI source retained.
S023,lazer2018science,2018,True,deception_misinformation,Misinformation claims need careful measurement and platform-sensitive interpretation.,False,False,False,keep_recent_final_source,Recent DOI source retained.
S024,allcott2017fake,2017,True,deception_misinformation,False narratives interact with prior beliefs and network exposure.,False,False,False,keep_recent_final_source,Recent DOI source retained.
S025,pennycook2019crowd,2019,True,deception_misinformation,Reputation-like quality signals can reduce misinformation exposure.,False,False,False,keep_recent_final_source,Recent DOI source retained.
S026,pennycook2021accuracy,2021,True,deception_misinformation,Decision environments can alter how much actors weight truth-related signals.,False,False,False,keep_recent_final_source,Recent DOI source retained.
S027,peskov2020lie,2020,True,deception_misinformation,"Deception depends on both sender and receiver context, supporting speaker-specific trust memory.",False,True,True,replace_no_doi_source,Replaced by S005.
S028,nguyen2022deceive,2022,True,deception_misinformation,Deception may be effective or harmful depending on opponent sophistication.,False,False,False,keep_recent_final_source,Recent DOI source retained.
S029,delong1990noise,1990,False,behavioral_finance,"Higher payoff can coexist with higher self-created risk, supporting risk-return framing.",False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S030,allen1992manipulation,1992,False,behavioral_finance,Manipulators can profit when others attach positive probability to their being informed.,True,False,True,keep_foundational_exception,"Recent social-media manipulation sources are empirical companions, not replacements for the formal manipulation model."
S031,hong1999underreaction,1999,False,behavioral_finance,Slow information diffusion can produce momentum and overreaction analogies.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S032,welch1992cascades,1992,False,behavioral_finance,Sequential actions can create cascades and path dependence in market-like settings.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S033,lakonishok1992institutional,1992,False,behavioral_finance,Herding claims require empirical validation and can be weaker than expected.,False,True,True,replace_no_doi_source,Replaced by S073.
S034,barberis1998sentiment,1998,False,behavioral_finance,Behavioral biases can produce underreaction and overreaction patterns.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S035,kyle1985continuous,1985,False,behavioral_finance,Private information can create an information premium under strategic interaction.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S036,grossman1980impossibility,1980,False,behavioral_finance,Useful private information must have value or agents would not acquire it.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S037,shiller2000irrational,2000,False,behavioral_finance,Narratives and social transmission can matter in financial behavior analogies.,False,True,True,replace_no_doi_source,Replaced by S077.
S038,manning2008ir,2008,False,bow_domain_shift,Bag-of-Words and sparse text representations are legitimate classical text features.,False,True,True,replace_no_doi_source,Replaced by S068.
S039,mccallum1998event,1998,False,bow_domain_shift,Simple BoW event models can be useful but depend on feature and data assumptions.,False,True,True,replace_no_doi_source,Replaced by S068.
S040,joachims1998text,1998,False,bow_domain_shift,Sparse lexical features can predict labels without guaranteeing decision utility.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S041,blitzer2006domain,2006,False,bow_domain_shift,NLP systems trained in one domain can fail or need adaptation in another.,False,True,True,replace_no_doi_source,Replaced by S065.
S042,bendavid2010domain,2010,False,bow_domain_shift,Held-out template failure is consistent with domain-shift theory.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S043,torralba2011bias,2011,False,bow_domain_shift,Predictive performance can be dataset-bound and fail under distribution shift.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S044,koh2021wilds,2021,True,bow_domain_shift,Robustness should be evaluated under grouped or distribution-shifted splits.,False,True,True,replace_no_doi_source,Replaced by S065.
S045,precup2000offpolicy,2000,False,offline_policy,Evaluating a policy from data generated by another policy requires correction and care.,False,True,True,replace_no_doi_source,Replaced by S069.
S046,dudik2011doubly,2011,False,offline_policy,Offline policy estimates can be biased or high variance without appropriate estimators.,False,True,True,replace_no_doi_source,Replaced by S069.
S047,thomas2015hcope,2015,False,offline_policy,Unsafe policies should not be deployed based only on weak offline estimates.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S048,jiang2016doubly,2016,True,offline_policy,Sequential policy evaluation has bias-variance tradeoffs and can be hard.,False,True,True,replace_no_doi_source,Replaced by S070.
S049,li2011unbiased,2011,False,offline_policy,Logged-data policy evaluation depends on support and logging-policy assumptions.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S050,levine2020offline,2020,True,offline_policy,Offline RL faces extrapolation and deployment-risk problems.,False,True,True,replace_no_doi_source,Replaced by S069.
S051,fujimoto2019bcq,2019,True,offline_policy,Offline policies can exploit unsupported actions unless constrained.,False,True,True,replace_no_doi_source,Replaced by S069.
S052,schelling1971segregation,1971,False,simulation_validation,Simple local rules can generate emergent social patterns.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S053,epstein1996growing,1996,False,simulation_validation,Agent-based models can build macro patterns from micro rules.,False,True,True,replace_no_doi_source,Replaced by S066.
S054,grimm2006odd,2006,False,simulation_validation,"Simulator mechanisms should be documented with explicit entities, rules, and process overview.",False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S055,sargent2013verification,2013,False,simulation_validation,"DURF engine symmetry, replay, and validation tests are necessary model-credibility evidence.",False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S056,railsback2019abm,2019,True,simulation_validation,"ABM projects should use explicit design, testing, sensitivity, and documentation workflows.",False,True,True,replace_no_doi_source,Replaced by S067.
S057,law2015simulation,2015,False,simulation_validation,"Simulation studies need explicit replication, validation, and output analysis.",False,True,True,replace_no_doi_source,Replaced by S066.
S058,sharpe1966mutual,1966,False,risk_metrics,Sharpe-like ratios are a recognized way to compare mean return per unit volatility.,True,False,True,keep_foundational_exception,Recent risk-metric sources extend the family but do not replace the original Sharpe-ratio concept.
S059,sortino1994downside,1994,False,risk_metrics,Sortino-like ratios isolate downside deviation rather than total volatility.,True,False,True,keep_foundational_exception,"Recent tail-risk and VaR/ES sources are companions, not replacements for Sortino-like framing."
S060,rockafellar2000cvar,2000,False,risk_metrics,Tail-risk metrics should examine expected losses conditional on bad outcomes.,True,False,True,keep_foundational_exception,Recent risk-measure sources extend validation and tail-risk measurement.
S061,jorion2007var,2007,False,risk_metrics,VaR-like metrics summarize percentile tail exposure.,False,True,True,replace_no_doi_source,Replaced by S087.
S062,markowitz1952portfolio,1952,False,risk_metrics,Risk-return tradeoffs are a formal basis for strategy frontier analogies.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S063,artzner1999coherent,1999,False,risk_metrics,Risk metrics require explicit definitions and caveats about what properties they satisfy.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S064,kahneman1979prospect,1979,False,risk_metrics,Risk preferences can alter choices and payoff distributions.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S065,geirhos2020shortcut,2020,True,bow_domain_shift,Models can rely on shortcut signals that fail under distribution shift.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S066,abar2017abms,2017,True,simulation_validation,Agent-based modelling tools and validation choices require explicit documentation.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S067,grimm2020odd,2020,True,simulation_validation,"Simulation studies need transparent model description, replication, and validation documentation.",False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S068,minaee2021textclassification,2021,True,bow_domain_shift,"Text classification performance depends on representation choices, datasets, and model validation.",False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S069,prudencio2024offline,2024,True,offline_policy,Offline RL policies need careful evaluation because deployment without online interaction is risky.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S070,gottesman2019healthcare,2019,True,offline_policy,Policies learned from observational data require risk-conscious validation before deployment.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S071,kamenica2019persuasion,2019,True,asymmetric_information,Information disclosure can strategically shape receiver decisions.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S072,bergemann2018price,2018,True,asymmetric_information,Supplemental information has value depending on prior information quality.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S073,cookson2023echo,2023,True,behavioral_finance,Financial social networks can create echo chambers that shape beliefs and outcomes.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S074,fissler2016elicitability,2016,True,risk_metrics,VaR and expected shortfall can be jointly evaluated under suitable scoring frameworks.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S075,jiao2020socialmedia,2020,True,behavioral_finance,Social media coverage can affect volatility and trading volume differently from news media.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S076,cresci2018fake,2018,True,behavioral_finance,Market-related social media can contain coordinated manipulation-like behavior.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S077,loughran2020textual,2020,True,behavioral_finance,Lexicon-based finance text analysis is useful but construct validity must be explicit.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S078,zhou2020fakenews,2020,True,deception_misinformation,"Fake-news detection can use writing style, propagation, and source credibility features.",False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S079,toyokawa2019social,2019,True,herding_trust,Social learning strategies can produce both crowd wisdom and crowd failure.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S080,jia2020rumors,2020,True,behavioral_finance,Speculative social-media rumors can distort price discovery.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S081,bergemann2019unified,2019,True,asymmetric_information,Information structures can be compared by how they change behavior in games.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S082,bergemann2016bayes,2016,True,asymmetric_information,Information structures can be formally compared in incomplete-information games.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S083,christoffersen2019riskherding,2019,True,herding_trust,Risk preference can influence herding behavior in financial forecasts.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S084,siganos2025fakenews,2025,True,behavioral_finance,Fake news can temporarily influence stock-market returns when believed by participants.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S085,dong2021socialmassmedia,2021,True,behavioral_finance,Different media sources carry different predictive value for stock-market outcomes.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S086,jeon2021newsjumps,2021,True,behavioral_finance,News flow and content can be connected to jump risk in stock returns.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S087,kou2016tailrisk,2016,True,risk_metrics,Tail-risk measurement choices affect risk-management interpretation.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
S088,embrechts2018rvar,2018,True,risk_metrics,VaR and expected shortfall are central but distinct risk measures.,False,False,False,add_recent_doi_replacement,Recent DOI source retained.
