document_frequency,in_core_lexicon,ngram_order,source_split,token,total_count,vocabulary_rank
824,False,1,train,sounds,824,86
824,False,2,train,sounds__fake,824,87
793,True,1,train,coordinate,793,88
790,False,1,train,claims,790,89
790,False,2,train,claims__coordinate,790,90
790,False,1,train,compare,790,91
790,False,2,train,compare__claims,790,92
790,False,2,train,coordinate__vote,790,93
790,False,1,train,need,790,94
790,False,2,train,need__plan,790,95
790,False,2,train,plan__compare,790,96
760,False,2,train,better__question,760,97
760,False,1,train,do,760,98
760,False,2,train,do__not,760,99
760,False,1,train,focus,760,100
760,False,2,train,focus__me,760,101
760,False,2,train,me__player_target,760,102
760,False,2,train,not__focus,760,103
760,False,2,train,player_target__better,760,104
740,False,2,train,vote__player_target,740,105
733,False,1,train,distraction,733,106
733,False,2,train,distraction__look,733,107
733,False,1,train,instead,733,108
733,False,1,train,look,733,109
733,False,2,train,look__player_target,733,110
733,False,2,train,player_target__instead,733,111
733,False,2,train,pressure__distraction,733,112
725,True,1,train,defend,725,113
725,False,2,train,defend__player_other,725,114
725,True,1,train,honest,725,115
725,False,2,train,looks__honest,725,116
725,False,2,train,player_other__because,725,117
725,False,2,train,record__looks,725,118
725,False,2,train,their__record,725,119
698,False,2,train,has__village,698,120
698,False,2,train,pattern__vote,698,121
698,False,2,train,player_other__has,698,122
698,True,1,train,village,698,123
698,False,2,train,village__pattern,698,124
552,False,2,train,better__reason,552,125
552,False,1,train,feels,552,126
552,False,2,train,feels__unclear,552,127
552,False,1,train,room,552,128
552,False,2,train,room__feels,552,129
552,True,1,train,unclear,552,130
552,False,2,train,unclear__will,552,131
552,False,1,train,wait,552,132
552,False,2,train,wait__better,552,133
552,False,1,train,will,552,134
552,False,2,train,will__wait,552,135
534,False,1,train,want,534,136
531,False,2,train,before__push,531,137
531,False,2,train,evidence__before,531,138
531,False,1,train,more,531,139
531,False,2,train,more__evidence,531,140
531,False,2,train,now__want,531,141
531,False,2,train,want__more,531,142
492,False,2,train,am__still,492,143
492,False,1,train,comparing,492,144
492,False,2,train,comparing__vote,492,145
492,False,1,train,listening,492,146
492,False,2,train,listening__comparing,492,147
492,False,1,train,still,492,148
492,False,2,train,still__listening,492,149
492,False,2,train,vote__pattern,492,150
463,False,1,train,helps,463,151
463,False,2,train,helps__wolf,463,152
463,True,1,train,obvious,463,153
463,False,2,train,obvious__threat,463,154
463,False,1,train,only,463,155
463,False,2,train,only__helps,463,156
463,False,2,train,player_target__obvious,463,157
463,True,1,train,threat,463,158
463,False,2,train,threat__waiting,463,159
463,False,1,train,waiting,463,160
463,False,2,train,waiting__only,463,161
432,False,2,train,player_target__wolf,432,162
426,False,1,train,there,426,163
426,False,2,train,vote__there,426,164
422,False,2,train,am__certain,422,165
422,False,2,train,before__they,422,166
422,True,1,train,certain,422,167
422,False,2,train,certain__player_target,422,168
422,False,1,train,hide,422,169
422,False,2,train,there__before,422,170
422,False,1,train,they,422,171
422,False,2,train,they__hide,422,172
422,False,2,train,wolf__vote,422,173
400,False,1,train,my,400,174
374,False,1,train,best,374,175
374,False,2,train,best__pressure,374,176
374,False,1,train,move,374,177
374,False,2,train,move__votes,374,178
374,False,2,train,player_target__best,374,179
374,False,1,train,point,374,180
374,False,2,train,pressure__point,374,181
374,True,1,train,votes,374,182
374,False,2,train,votes__player_target,374,183
370,False,2,train,because__earlier,370,184
370,False,1,train,earlier,370,185
370,False,2,train,earlier__pattern,370,186
370,True,1,train,majority,370,187
370,False,2,train,majority__not,370,188
370,False,2,train,me__majority,370,189
370,False,2,train,my__vote,370,190
370,False,2,train,not__split,370,191
370,False,2,train,player_target__me,370,192
370,True,1,train,split,370,193
369,False,1,train,choose,369,194
369,False,2,train,choose__player_target,369,195
369,False,1,train,gives,369,196
369,False,2,train,gives__me,369,197
369,False,2,train,history__gives,369,198
369,False,2,train,me__reason,369,199
369,False,2,train,reason__choose,369,200
286,False,2,train,has__wolfish,286,201
286,False,2,train,record__has,286,202
286,True,1,train,suspect,286,203
286,False,2,train,suspect__player_target,286,204
286,False,2,train,their__vote,286,205
286,False,2,train,vote__record,286,206
286,True,1,train,wolfish,286,207
286,False,2,train,wolfish__pattern,286,208
257,False,1,train,around,257,209
257,False,2,train,around__their,257,210
257,True,1,train,logic,257,211
257,False,2,train,logic__around,257,212
257,False,2,train,looks__suspicious,257,213
257,False,2,train,player_target__looks,257,214
257,False,2,train,push__weak,257,215
257,True,1,train,suspicious,257,216
257,False,2,train,suspicious__logic,257,217
257,False,2,train,their__push,257,218
257,False,1,train,weak,257,219
256,False,1,train,changes,256,220
256,False,2,train,player_target__see,256,221
256,False,2,train,pressure__player_target,256,222
256,False,1,train,see,256,223
256,False,2,train,see__whether,256,224
256,False,2,train,should__pressure,256,225
256,False,2,train,story__changes,256,226
256,False,1,train,whether,256,227
256,False,2,train,whether__story,256,228
155,False,2,train,claim__hunter,155,229
155,False,2,train,has__shot,155,230
155,True,1,train,hunter,155,231
155,False,2,train,hunter__reckless,155,232
155,False,2,train,me__has,155,233
155,False,1,train,reckless,155,234
155,False,2,train,reckless__push,155,235
155,True,1,train,risk,155,236
155,True,1,train,shot,155,237
155,False,2,train,shot__risk,155,238
133,False,1,train,choices,133,239
133,False,2,train,choices__matter,133,240
133,False,2,train,claim__witch,133,241
133,False,1,train,matter,133,242
133,False,2,train,matter__now,133,243
133,True,1,train,poison,133,244
133,False,2,train,poison__choices,133,245
133,True,1,train,save,133,246
133,False,2,train,save__poison,133,247
133,True,1,train,witch,133,248
133,False,2,train,witch__save,133,249
33,False,1,train,central,33,250
33,False,2,train,central__last,33,251
33,False,2,train,history__shows,33,252
33,False,1,train,last,33,253
33,False,2,train,last__push,33,254
33,False,2,train,player_target__was,33,255
33,False,1,train,shows,33,256
33,False,2,train,shows__player_target,33,257
33,False,1,train,was,33,258
33,False,2,train,was__central,33,259
30,False,1,train,check,30,260
30,False,2,train,check__says,30,261
30,False,2,train,my__check,30,262
30,False,1,train,says,30,263
30,False,2,train,says__player_target,30,264
20,False,2,train,player_target__not,20,265
4,False,2,train,am__sure,4,266
4,True,1,train,danger,4,267
4,False,2,train,danger__today,4,268
4,False,1,train,drifting,4,269
4,False,2,train,drifting__player_target,4,270
4,False,1,train,hiding,4,271
4,False,2,train,hiding__something,4,272
4,False,2,train,player_target__danger,4,273
4,False,2,train,player_target__hiding,4,274
4,False,1,train,something,4,275
4,False,2,train,something__vote,4,276
4,True,1,train,stop,4,277
4,False,2,train,stop__drifting,4,278
4,True,1,train,sure,4,279
4,False,2,train,sure__player_target,4,280
4,False,2,train,there__now,4,281
4,False,1,train,today,4,282
4,False,2,train,today__exclamation,4,283
3,False,2,train,coordinate__together,3,284
3,False,2,train,player_target__want,3,285
3,True,1,train,together,3,286
3,False,1,train,us,3,287
3,False,2,train,us__coordinate,3,288
3,False,2,train,want__us,3,289
